Date,Dividends
2016-06-01,0.169000
2016-05-02,0.164000
2016-04-01,0.173000
2016-03-01,0.165000
2016-02-01,0.174000
2015-12-23,0.230000
2015-12-01,0.167000
2015-11-02,0.169000
2015-10-01,0.164000
2015-09-01,0.168000
2015-08-03,0.169000
2015-07-01,0.163000
2015-06-01,0.166000
2015-05-01,0.159000
2015-04-01,0.191000
2015-03-02,0.162000
2015-02-02,0.170000
2014-12-23,0.381000
2014-12-01,0.166000
2014-11-03,0.173000
2014-10-01,0.161000
2014-09-02,0.179000
2014-08-01,0.172000
2014-07-01,0.172000
2014-06-02,0.179000
2014-05-01,0.178000
2014-04-01,0.190000
2014-03-03,0.172000
2014-02-03,0.171000
2013-12-24,0.241000
2013-12-02,0.175000
2013-11-01,0.181000
2013-10-01,0.172000
2013-09-03,0.171000
2013-08-01,0.166000
2013-07-01,0.167000
2013-06-03,0.165000
2013-05-01,0.162000
2013-04-01,0.306000
2013-03-01,0.156000
2013-02-01,0.166000
2012-12-03,0.167000
2012-10-01,0.174000
2012-09-04,0.184000
2012-08-01,0.187000
2012-07-02,0.187000
2012-06-01,0.186000
2012-05-01,0.190000
2012-04-02,0.276000
2012-03-01,0.195000
2012-02-01,0.204000
2011-12-23,0.596000
2011-12-01,0.203000
2011-11-01,0.210000
2011-10-03,0.214000
2011-09-01,0.213000
2011-08-01,0.221000
2011-07-01,0.217000
2011-06-01,0.224000
2011-05-02,0.223000
2011-04-01,0.228000
2011-03-01,0.212000
2011-02-01,0.225000
2010-12-27,0.583000
2010-12-01,0.220000
2010-11-01,0.228000
2010-10-01,0.223000
2010-09-01,0.226000
2010-08-02,0.232000
2010-07-01,0.229000
2010-06-01,0.244000
2010-05-03,0.237000
2010-04-01,0.245000
2010-03-01,0.234000
2010-02-01,0.248000
2009-12-28,0.255000
2009-12-01,0.245000
2009-11-02,0.253000
2009-10-01,0.248000
2009-09-01,0.261000
2009-08-03,0.260000
2009-07-01,0.264000
2009-06-01,0.268000
2009-05-01,0.268000
2009-04-01,0.278000
2009-03-02,0.275000
2009-02-02,0.289000
2008-12-24,0.294000
2008-12-01,0.296000
2008-11-03,0.300000
2008-10-01,0.269000
2008-09-02,0.288000
2008-08-01,0.304000
2008-07-01,0.296000
2008-06-02,0.282000
2008-05-01,0.302000
2008-04-01,0.301000
2008-03-03,0.291000
2008-02-01,0.300000
2007-12-24,0.261000
2007-12-03,0.307000
2007-11-01,0.285000
2007-10-01,0.283000
2007-09-04,0.294000
2007-08-01,0.304000
2007-07-02,0.233000
2007-06-01,0.258000
2007-05-01,0.127000
