Date,Open,High,Low,Close,Volume
25-Aug-16,84.32,84.38,84.25,84.26,1737848
24-Aug-16,84.43,84.45,84.32,84.35,2083316
23-Aug-16,84.44,84.45,84.32,84.36,1668316
22-Aug-16,84.29,84.35,84.23,84.32,1388133
19-Aug-16,84.22,84.26,84.08,84.20,1995133
18-Aug-16,84.32,84.41,84.24,84.37,1750992
17-Aug-16,84.19,84.34,84.15,84.28,2024562
16-Aug-16,84.22,84.23,84.11,84.15,2163229
15-Aug-16,84.22,84.32,84.18,84.19,1942476
12-Aug-16,84.41,84.47,84.31,84.33,1605961
11-Aug-16,84.39,84.39,84.08,84.14,1760145
10-Aug-16,84.31,84.39,84.25,84.36,1672237
9-Aug-16,84.06,84.25,84.05,84.25,2262683
8-Aug-16,83.96,84.07,83.88,84.01,1843105
5-Aug-16,84.25,84.25,83.98,84.00,2018671
4-Aug-16,84.27,84.38,84.24,84.28,1202019
3-Aug-16,84.13,84.18,83.98,84.13,3472357
2-Aug-16,84.18,84.25,84.05,84.13,4575748
1-Aug-16,84.25,84.44,84.20,84.21,3705684
29-Jul-16,84.49,84.64,84.44,84.64,2758096
28-Jul-16,84.36,84.45,84.27,84.37,1418956
27-Jul-16,84.22,84.42,84.20,84.42,1575358
26-Jul-16,84.27,84.27,84.11,84.17,2385382
25-Jul-16,84.23,84.28,84.14,84.18,1204613
22-Jul-16,84.14,84.28,84.09,84.23,1611974
21-Jul-16,84.05,84.23,83.95,84.22,2076049
20-Jul-16,84.16,84.16,84.05,84.12,1688080
19-Jul-16,84.17,84.23,84.11,84.21,1559682
18-Jul-16,84.20,84.21,84.00,84.08,2155882
15-Jul-16,84.26,84.26,84.00,84.05,2233910
14-Jul-16,84.30,84.39,84.24,84.32,1621560
13-Jul-16,84.51,84.53,84.43,84.45,1352495
12-Jul-16,84.53,84.53,84.23,84.30,1775380
11-Jul-16,84.81,84.84,84.61,84.64,2617160
8-Jul-16,84.80,84.92,84.68,84.89,1748008
7-Jul-16,84.67,84.77,84.58,84.67,2032485
6-Jul-16,84.74,84.81,84.63,84.81,1936801
5-Jul-16,84.60,84.71,84.49,84.66,3193762
1-Jul-16,84.44,84.48,84.24,84.37,2531588
30-Jun-16,84.21,84.41,84.19,84.30,3362364
29-Jun-16,84.32,84.33,84.13,84.19,2425743
28-Jun-16,84.25,84.25,84.12,84.22,2971802
27-Jun-16,84.16,84.17,84.01,84.12,2466088
24-Jun-16,83.84,83.92,83.67,83.69,2030433
23-Jun-16,83.27,83.37,83.22,83.23,1152760
22-Jun-16,83.38,83.42,83.32,83.38,1337666
21-Jun-16,83.48,83.50,83.33,83.35,1785155
20-Jun-16,83.48,83.53,83.44,83.46,2347501
17-Jun-16,83.71,83.74,83.59,83.65,1860815
16-Jun-16,83.82,83.91,83.69,83.77,1111567
15-Jun-16,83.56,83.75,83.54,83.68,1345093
14-Jun-16,83.62,83.62,83.47,83.49,1524219
13-Jun-16,83.56,83.58,83.48,83.50,1681537
10-Jun-16,83.49,83.58,83.43,83.48,1575284
9-Jun-16,83.47,83.47,83.37,83.40,1611200
8-Jun-16,83.30,83.33,83.25,83.32,1374484
7-Jun-16,83.28,83.30,83.20,83.22,1283150
6-Jun-16,83.23,83.25,83.13,83.21,1603070
3-Jun-16,83.22,83.37,83.17,83.34,1964454
2-Jun-16,82.75,82.89,82.73,82.82,1503350
1-Jun-16,82.74,82.78,82.60,82.66,1625561
31-May-16,82.66,82.89,82.60,82.80,1361420
27-May-16,82.80,82.80,82.65,82.73,2045573
26-May-16,82.72,82.82,82.67,82.76,1571749
25-May-16,82.67,82.70,82.59,82.62,1474825
24-May-16,82.69,82.70,82.56,82.65,2656760
23-May-16,82.73,82.77,82.63,82.69,1310731
20-May-16,82.66,82.77,82.62,82.67,2043950
19-May-16,82.63,82.69,82.59,82.67,1463982
18-May-16,82.92,82.92,82.52,82.58,1685902
17-May-16,83.13,83.13,82.94,82.97,1735874
16-May-16,83.15,83.15,83.02,83.03,3132006
13-May-16,83.16,83.24,83.08,83.21,1397400
12-May-16,83.10,83.18,83.06,83.12,1653269
11-May-16,83.14,83.26,83.07,83.11,2381020
10-May-16,83.09,83.16,83.03,83.09,1889312
9-May-16,83.11,83.14,83.03,83.09,1373191
6-May-16,83.07,83.10,82.97,83.03,1520589
5-May-16,82.96,83.10,82.87,83.07,1270665
4-May-16,82.94,83.01,82.83,82.92,2868489
3-May-16,82.95,82.96,82.84,82.89,1765505
2-May-16,82.78,82.78,82.63,82.66,2443703
29-Apr-16,82.87,82.98,82.82,82.97,2856894
28-Apr-16,82.78,82.97,82.74,82.91,1625803
27-Apr-16,82.61,82.81,82.55,82.76,1456351
26-Apr-16,82.67,82.67,82.44,82.51,1689567
25-Apr-16,82.72,82.77,82.62,82.63,2483327
22-Apr-16,82.82,82.88,82.71,82.73,5115333
21-Apr-16,82.80,82.86,82.68,82.76,1683859
20-Apr-16,83.11,83.15,82.86,82.86,2388630
19-Apr-16,83.04,83.09,82.94,83.09,1163644
18-Apr-16,83.02,83.04,82.96,83.04,1395354
15-Apr-16,82.99,83.14,82.96,83.07,1181034
14-Apr-16,82.95,82.98,82.85,82.88,1617265
13-Apr-16,82.87,83.00,82.80,82.95,1747979
12-Apr-16,82.92,82.98,82.82,82.90,2388095
11-Apr-16,82.99,83.07,82.93,83.03,1213937
8-Apr-16,83.06,83.07,82.97,83.04,1402106
7-Apr-16,83.08,83.15,83.00,83.11,1533335
6-Apr-16,82.90,82.92,82.80,82.84,1833120
5-Apr-16,82.96,82.99,82.88,82.88,2148222
4-Apr-16,82.77,82.86,82.70,82.73,1452361
1-Apr-16,82.65,82.79,82.53,82.73,3027385
31-Mar-16,82.72,82.92,82.69,82.80,3037550
30-Mar-16,82.63,82.74,82.54,82.65,1624328
29-Mar-16,82.45,82.74,82.42,82.68,1841832
28-Mar-16,82.29,82.44,82.28,82.34,2369635
24-Mar-16,82.52,82.52,82.21,82.30,1752328
23-Mar-16,82.27,82.41,82.23,82.40,1234729
