Date,Dividends
2014-12-29,0.457000
2014-11-03,0.021000
2014-10-01,0.049000
2014-09-02,0.067000
2014-07-01,0.078000
2014-06-02,0.056000
2014-05-01,0.056000
2014-04-01,0.098000
2014-03-03,0.084000
2014-02-03,0.015000
2013-12-27,0.107000
2013-12-02,0.102000
2013-11-01,0.118000
2013-10-01,0.112000
2013-09-03,0.065000
2013-08-01,0.037000
2013-07-01,0.076000
2013-06-03,0.083000
2013-05-01,0.047000
2013-04-01,0.070000
2013-03-01,0.166000
2013-02-01,0.100000
2012-12-27,0.143000
2012-12-03,0.178000
2012-10-01,0.098000
2012-09-04,0.043000
2012-08-01,0.090000
2012-07-02,0.095000
2012-06-01,0.105000
2012-05-01,0.092000
2012-04-02,0.096000
2012-03-01,0.092000
2012-02-01,0.095000
2011-12-28,0.143000
2011-12-01,0.544000
2011-11-01,0.287000
2011-10-03,0.254000
2011-09-01,0.289000
2011-08-01,0.204000
2011-07-01,0.125000
2011-06-01,0.124000
2010-12-29,0.366000
2010-06-01,0.000000
2010-02-01,0.165000
2009-12-29,0.260000
2009-03-02,0.109000
2009-02-02,0.122000
2008-12-29,0.114000
2008-12-01,0.122000
2008-11-03,0.126000
2008-10-01,0.133000
2008-09-02,0.177000
2008-08-01,0.111000
2008-07-01,0.141000
2008-06-02,0.147000
2008-05-01,0.155000
2008-04-01,0.129000
2008-03-03,0.121000
2008-02-01,0.144000
2007-12-28,0.178000
2007-12-03,0.082000
2007-11-01,0.056000
