Date,Open,High,Low,Close,Volume
10-Jun-16,56.71,56.78,56.42,56.57,124907
9-Jun-16,56.81,56.96,56.69,56.72,147091
8-Jun-16,56.93,57.00,56.83,56.90,1715401
7-Jun-16,56.67,56.73,56.54,56.68,191208
6-Jun-16,56.42,56.58,56.39,56.47,178833
3-Jun-16,56.00,56.57,56.00,56.45,204775
2-Jun-16,55.21,55.53,55.21,55.50,403011
1-Jun-16,55.31,55.37,55.17,55.28,769103
31-May-16,55.03,55.23,55.03,55.07,331006
27-May-16,55.29,55.46,55.08,55.20,1625888
26-May-16,55.59,55.59,55.34,55.41,370728
25-May-16,55.05,55.27,55.05,55.25,718688
24-May-16,55.07,55.14,54.95,54.97,528140
23-May-16,55.08,55.31,55.08,55.20,272414
20-May-16,55.22,55.26,55.06,55.11,730359
19-May-16,55.00,55.20,55.00,55.10,344018
18-May-16,55.44,55.54,55.06,55.11,234876
17-May-16,55.64,55.86,55.64,55.72,139437
16-May-16,55.79,55.85,55.65,55.70,179682
13-May-16,55.84,55.84,55.57,55.79,231716
12-May-16,56.00,56.13,55.86,55.97,243479
11-May-16,56.01,56.30,56.01,56.13,464334
10-May-16,55.89,56.06,55.83,55.95,99998
9-May-16,56.16,56.16,55.94,56.06,207286
6-May-16,56.40,56.50,56.21,56.30,106040
5-May-16,56.44,56.54,56.24,56.33,220289
4-May-16,56.64,56.67,56.36,56.55,264181
3-May-16,56.99,57.00,56.66,56.68,426699
2-May-16,56.72,56.84,56.65,56.75,1874871
29-Apr-16,56.44,56.59,56.34,56.59,89781
28-Apr-16,55.91,56.18,55.89,56.09,864367
27-Apr-16,55.50,55.64,55.24,55.45,138575
26-Apr-16,55.61,55.66,55.36,55.40,74086
25-Apr-16,55.34,55.44,55.22,55.26,207960
22-Apr-16,55.49,55.52,55.26,55.38,865288
21-Apr-16,56.02,56.08,55.79,55.80,202043
20-Apr-16,56.18,56.33,55.98,55.98,239573
19-Apr-16,56.22,56.40,56.19,56.26,113312
18-Apr-16,55.94,56.13,55.91,56.08,205806
15-Apr-16,55.85,56.11,55.85,56.02,166398
14-Apr-16,55.81,55.87,55.70,55.74,105497
13-Apr-16,56.00,56.05,55.85,55.90,709748
12-Apr-16,56.27,56.27,56.02,56.16,484580
11-Apr-16,56.22,56.41,56.11,56.34,123436
8-Apr-16,56.07,56.25,56.05,56.18,122224
7-Apr-16,55.91,56.11,55.90,55.95,134412
6-Apr-16,55.71,56.07,55.49,55.91,337749
5-Apr-16,55.80,55.94,55.69,55.82,785526
4-Apr-16,55.81,55.94,55.73,55.80,773624
1-Apr-16,55.61,55.84,55.44,55.77,4365053
31-Mar-16,55.66,55.80,55.45,55.74,1157149
30-Mar-16,55.40,55.64,55.38,55.52,58798
29-Mar-16,54.76,55.44,54.76,55.38,93845
28-Mar-16,54.82,54.90,54.68,54.73,192458
24-Mar-16,54.74,54.74,54.60,54.64,133315
23-Mar-16,54.63,54.83,54.63,54.76,118717
22-Mar-16,55.10,55.15,54.93,54.99,100930
21-Mar-16,55.11,55.20,55.04,55.04,213167
18-Mar-16,55.37,55.48,55.20,55.26,206963
17-Mar-16,54.69,55.32,54.69,55.22,329411
16-Mar-16,53.63,54.60,53.63,54.56,557530
15-Mar-16,54.29,54.29,53.78,53.84,107308
14-Mar-16,54.10,54.16,53.94,53.97,110187
11-Mar-16,54.15,54.31,54.08,54.08,193483
10-Mar-16,53.91,54.22,53.90,54.07,436564
9-Mar-16,54.06,54.07,53.78,53.85,153912
8-Mar-16,54.13,54.34,53.98,54.16,313858
7-Mar-16,53.69,53.96,53.68,53.90,170623
4-Mar-16,53.81,54.04,53.70,53.84,166254
3-Mar-16,53.70,53.76,53.47,53.73,146155
2-Mar-16,53.42,53.42,53.11,53.39,306085
1-Mar-16,53.69,53.69,53.24,53.42,595793
29-Feb-16,53.17,53.56,53.17,53.49,394686
26-Feb-16,53.25,53.93,53.15,53.20,177421
25-Feb-16,53.55,53.78,53.48,53.64,55393
24-Feb-16,53.45,53.81,53.45,53.64,98170
23-Feb-16,53.54,53.69,53.48,53.55,142111
22-Feb-16,53.81,53.81,53.35,53.58,153962
19-Feb-16,53.57,53.80,53.50,53.76,72360
18-Feb-16,53.90,53.90,53.41,53.50,119166
17-Feb-16,53.14,53.45,53.00,53.41,138914
16-Feb-16,53.49,53.51,53.30,53.43,144733
12-Feb-16,53.56,53.87,53.56,53.85,158613
11-Feb-16,54.22,54.30,54.03,54.07,93479
10-Feb-16,53.55,54.01,53.44,54.01,228258
9-Feb-16,53.55,53.88,53.55,53.74,341340
8-Feb-16,52.68,53.45,52.68,53.35,189718
5-Feb-16,53.08,53.19,52.97,53.13,113753
4-Feb-16,53.19,53.43,53.18,53.35,165967
3-Feb-16,52.34,53.10,52.13,52.97,197447
2-Feb-16,51.94,52.25,51.88,52.01,334286
1-Feb-16,51.83,51.99,51.81,51.96,878493
29-Jan-16,51.80,51.83,51.60,51.78,305339
28-Jan-16,51.74,51.98,51.74,51.89,185212
27-Jan-16,51.64,51.88,51.58,51.67,183252
26-Jan-16,51.53,51.71,51.52,51.61,202130
25-Jan-16,51.45,51.56,51.40,51.46,611977
22-Jan-16,51.41,51.50,51.26,51.40,1020417
21-Jan-16,51.40,51.63,51.36,51.55,809163
20-Jan-16,51.61,51.68,51.39,51.49,165807
19-Jan-16,51.35,51.50,51.29,51.43,744389
15-Jan-16,51.82,51.86,51.45,51.55,302237
14-Jan-16,51.58,51.62,51.33,51.46,336938
13-Jan-16,51.13,51.59,51.13,51.52,508488
12-Jan-16,51.47,51.54,51.31,51.40,702038
11-Jan-16,51.56,51.70,51.48,51.51,935307
8-Jan-16,51.55,51.83,51.55,51.77,420838
7-Jan-16,51.61,51.87,51.51,51.86,398239
6-Jan-16,51.43,51.54,51.40,51.53,292608
5-Jan-16,51.47,51.59,51.33,51.42,822394
4-Jan-16,51.61,51.73,51.48,51.62,4186025
31-Dec-15,51.36,51.74,51.36,51.63,733752
30-Dec-15,51.65,51.76,51.47,51.66,715266
29-Dec-15,52.01,52.01,51.52,51.71,778757
28-Dec-15,51.90,52.00,51.81,51.92,306884
24-Dec-15,51.75,51.90,51.72,51.84,288640
23-Dec-15,51.62,51.70,51.45,51.70,293354
22-Dec-15,51.72,51.81,51.61,51.76,238656
21-Dec-15,51.65,51.77,51.61,51.74,249635
18-Dec-15,51.78,51.78,51.34,51.55,331999
17-Dec-15,51.20,51.25,51.09,51.22,333672
16-Dec-15,51.39,51.72,51.11,51.42,413137
15-Dec-15,51.59,51.71,51.41,51.45,241855
14-Dec-15,51.76,51.95,51.70,51.77,480514
11-Dec-15,51.78,51.90,51.75,51.77,249490
10-Dec-15,51.66,51.84,51.66,51.74,262996
9-Dec-15,51.73,51.97,51.69,51.87,117113
8-Dec-15,51.44,51.50,51.32,51.49,527408
7-Dec-15,51.22,51.43,51.20,51.29,311421
4-Dec-15,51.29,51.54,51.24,51.39,411512
3-Dec-15,51.29,51.55,51.20,51.44,1091754
2-Dec-15,51.09,51.17,50.91,51.11,299769
1-Dec-15,51.12,51.35,51.10,51.31,732232
30-Nov-15,51.04,51.09,50.96,51.03,551477
27-Nov-15,51.22,51.22,51.07,51.08,41397
25-Nov-15,51.20,51.32,51.08,51.22,185232
24-Nov-15,51.24,51.32,51.16,51.22,117104
23-Nov-15,51.11,51.16,50.97,51.04,263188
20-Nov-15,51.41,51.41,51.16,51.18,313435
19-Nov-15,51.29,51.47,51.28,51.37,319166
18-Nov-15,50.95,51.06,50.87,50.93,383363
17-Nov-15,50.93,51.01,50.87,50.98,115286
16-Nov-15,51.07,51.13,50.93,51.00,467533
13-Nov-15,51.24,51.24,50.98,51.17,169819
12-Nov-15,51.44,51.44,51.01,51.15,221176
11-Nov-15,50.97,51.18,50.82,51.05,379976
10-Nov-15,50.95,50.95,50.68,50.89,130717
9-Nov-15,50.70,50.93,50.66,50.83,135618
6-Nov-15,50.99,51.12,50.69,50.92,282212
5-Nov-15,51.66,51.80,51.60,51.62,147208
4-Nov-15,51.98,51.99,51.67,51.70,75040
3-Nov-15,52.07,52.21,52.02,52.19,156200
2-Nov-15,52.34,52.42,52.22,52.28,817917
30-Oct-15,52.07,52.39,52.07,52.29,121696
29-Oct-15,52.14,52.19,52.03,52.05,171585
28-Oct-15,52.65,52.74,52.11,52.16,244036
27-Oct-15,52.59,52.64,52.50,52.53,71574
26-Oct-15,52.45,52.64,52.43,52.44,649953
23-Oct-15,52.54,52.54,52.27,52.42,166942
22-Oct-15,52.88,53.04,52.74,52.78,163727
21-Oct-15,53.00,53.19,52.97,53.11,199227
20-Oct-15,53.13,53.21,53.05,53.08,211157
19-Oct-15,53.30,53.30,53.16,53.19,244940
16-Oct-15,53.46,53.50,53.30,53.41,194287
15-Oct-15,53.51,53.66,53.36,53.55,58239
14-Oct-15,53.32,53.73,53.28,53.64,147035
13-Oct-15,53.11,53.14,53.01,53.07,207452
12-Oct-15,53.10,53.21,53.04,53.07,207192
9-Oct-15,52.98,53.10,52.93,53.03,54483
8-Oct-15,52.97,52.97,52.63,52.80,92558
7-Oct-15,52.73,52.78,52.60,52.64,119033
6-Oct-15,52.43,52.72,52.40,52.64,103652
5-Oct-15,52.49,52.56,52.33,52.44,642235
2-Oct-15,52.81,52.89,52.44,52.45,240795
1-Oct-15,52.20,52.42,52.20,52.33,528720
30-Sep-15,52.15,52.20,52.03,52.07,381148
29-Sep-15,52.12,52.32,52.12,52.23,103515
28-Sep-15,51.90,52.22,51.90,52.14,225340
25-Sep-15,51.92,52.07,51.90,51.99,107584
24-Sep-15,52.32,52.49,52.12,52.23,239294
23-Sep-15,52.18,52.23,51.97,52.10,280209
22-Sep-15,52.14,52.33,52.07,52.12,162592
21-Sep-15,52.50,52.50,52.12,52.22,126227
18-Sep-15,53.00,53.10,52.62,52.62,418712
17-Sep-15,52.20,52.99,52.17,52.66,305564
16-Sep-15,52.10,52.36,52.10,52.20,78433
15-Sep-15,52.45,52.45,52.03,52.09,82945
14-Sep-15,52.30,52.44,52.30,52.40,222697
11-Sep-15,52.25,52.42,52.18,52.36,152657
10-Sep-15,52.14,52.31,51.97,52.10,315161
9-Sep-15,51.91,52.15,51.75,52.09,222770
8-Sep-15,52.06,52.17,51.99,52.11,78754
4-Sep-15,52.07,52.16,51.76,51.95,259102
3-Sep-15,52.26,52.26,51.75,52.02,174438
2-Sep-15,52.04,52.19,51.89,52.02,689893
1-Sep-15,52.00,52.38,51.99,52.27,616421
31-Aug-15,52.12,52.19,51.79,51.81,167431
28-Aug-15,52.20,52.27,51.84,51.91,449967
27-Aug-15,52.12,52.40,51.95,52.12,159715
26-Aug-15,52.63,52.76,52.25,52.33,247969
25-Aug-15,53.05,53.09,52.60,52.96,1620139
