Date,Open,High,Low,Close,Volume
25-Aug-16,20.80,20.81,20.62,20.66,727876
24-Aug-16,20.96,21.00,20.68,20.74,333077
23-Aug-16,20.90,21.03,20.88,20.99,675375
22-Aug-16,20.89,21.04,20.86,20.97,246282
19-Aug-16,20.80,20.90,20.75,20.86,581845
18-Aug-16,20.84,20.96,20.82,20.94,1069918
17-Aug-16,20.80,20.85,20.73,20.80,241632
16-Aug-16,20.93,20.95,20.80,20.88,417050
15-Aug-16,20.78,20.95,20.78,20.88,801006
12-Aug-16,20.62,20.71,20.52,20.70,434619
11-Aug-16,20.72,20.77,20.61,20.62,143825
10-Aug-16,20.85,20.88,20.67,20.71,170931
9-Aug-16,20.89,21.04,20.82,20.84,349152
8-Aug-16,21.00,21.06,20.88,20.93,371199
5-Aug-16,20.75,20.93,20.72,20.92,823790
4-Aug-16,20.61,20.72,20.47,20.65,297752
3-Aug-16,20.51,20.67,20.46,20.56,610029
2-Aug-16,20.65,20.71,20.38,20.47,595113
1-Aug-16,20.54,20.75,20.52,20.54,603730
29-Jul-16,20.45,20.68,20.43,20.59,904962
28-Jul-16,20.60,20.62,20.42,20.46,1225781
27-Jul-16,20.73,20.78,20.60,20.64,2096210
26-Jul-16,20.70,20.79,20.67,20.72,349259
25-Jul-16,20.79,20.82,20.70,20.80,366508
22-Jul-16,20.57,20.76,20.42,20.73,729372
21-Jul-16,20.92,20.95,20.70,20.73,346351
20-Jul-16,21.05,21.11,20.80,20.81,2116095
19-Jul-16,21.34,21.34,21.05,21.06,598092
18-Jul-16,21.34,21.53,21.14,21.51,1246341
15-Jul-16,21.64,21.69,21.33,21.34,751771
14-Jul-16,22.00,22.03,21.77,21.78,1640021
13-Jul-16,21.81,21.90,21.67,21.68,1968299
12-Jul-16,21.41,21.56,21.30,21.54,964143
11-Jul-16,21.71,21.71,21.49,21.52,287583
8-Jul-16,21.35,21.46,21.30,21.43,813429
7-Jul-16,21.64,21.68,21.17,21.18,1412763
6-Jul-16,21.58,21.60,21.43,21.59,640309
5-Jul-16,22.01,22.01,21.57,21.84,840484
1-Jul-16,22.16,22.18,21.96,21.98,747192
30-Jun-16,22.09,22.11,21.86,22.07,770243
29-Jun-16,22.14,22.25,22.11,22.19,548839
28-Jun-16,22.12,22.19,21.96,22.00,893814
27-Jun-16,21.73,21.86,21.70,21.78,556383
24-Jun-16,21.60,21.74,21.51,21.63,1141063
23-Jun-16,22.08,22.14,21.93,22.10,351526
22-Jun-16,22.14,22.21,22.02,22.03,381481
21-Jun-16,22.32,22.32,22.16,22.18,479302
20-Jun-16,22.63,22.63,22.50,22.51,353359
17-Jun-16,22.75,22.85,22.63,22.77,426063
16-Jun-16,22.67,22.71,22.30,22.55,584371
15-Jun-16,22.79,22.82,22.65,22.66,276655
14-Jun-16,22.55,22.71,22.40,22.70,702437
13-Jun-16,22.85,22.87,22.67,22.68,853763
10-Jun-16,22.82,23.01,22.70,22.79,721332
9-Jun-16,22.98,23.01,22.78,22.81,600804
8-Jun-16,22.61,22.98,22.61,22.96,1132106
7-Jun-16,22.33,22.48,22.33,22.45,2583248
6-Jun-16,22.31,22.50,22.26,22.33,1038254
3-Jun-16,21.87,22.07,21.78,22.07,876555
2-Jun-16,21.59,21.79,21.56,21.73,931748
1-Jun-16,21.27,21.47,21.22,21.46,430101
31-May-16,21.50,21.57,21.31,21.31,447358
27-May-16,21.29,21.42,21.28,21.41,499207
26-May-16,21.18,21.30,21.00,21.30,441982
25-May-16,20.82,21.08,20.82,21.07,666107
24-May-16,20.77,20.96,20.76,20.83,594202
23-May-16,20.98,20.98,20.83,20.87,373755
20-May-16,21.20,21.27,21.05,21.12,367345
19-May-16,21.21,21.29,20.88,21.05,644062
18-May-16,21.32,21.45,21.25,21.37,353132
17-May-16,21.42,21.54,21.41,21.47,303196
16-May-16,21.23,21.42,21.21,21.40,716991
13-May-16,21.25,21.31,21.20,21.27,451004
12-May-16,21.34,21.38,21.24,21.37,1609006
11-May-16,21.28,21.35,21.20,21.28,643038
10-May-16,20.97,21.24,20.94,21.19,495396
9-May-16,20.94,20.97,20.79,20.87,209015
6-May-16,20.80,20.92,20.80,20.88,353228
5-May-16,21.09,21.10,20.75,20.77,333607
4-May-16,20.89,21.00,20.85,20.97,295061
3-May-16,21.10,21.13,20.81,20.88,686342
2-May-16,21.10,21.10,20.94,21.10,282875
29-Apr-16,21.00,21.09,20.97,21.08,942245
28-Apr-16,20.87,21.02,20.85,20.87,613990
27-Apr-16,21.00,21.02,20.81,20.91,499184
26-Apr-16,20.90,21.07,20.83,21.06,467416
25-Apr-16,20.66,20.92,20.66,20.82,556915
22-Apr-16,20.91,20.96,20.54,20.55,620464
21-Apr-16,21.26,21.26,20.92,20.98,1751571
20-Apr-16,20.98,21.17,20.94,21.17,390424
19-Apr-16,20.77,20.92,20.77,20.92,335179
18-Apr-16,20.55,20.76,20.52,20.66,222114
15-Apr-16,20.37,20.58,20.37,20.54,779535
14-Apr-16,20.37,20.41,20.30,20.32,111577
13-Apr-16,20.30,20.42,20.26,20.33,554750
12-Apr-16,20.23,20.32,20.21,20.25,401934
11-Apr-16,20.24,20.27,20.14,20.14,359555
8-Apr-16,20.11,20.30,20.10,20.29,120431
7-Apr-16,20.16,20.16,20.05,20.06,99519
6-Apr-16,20.12,20.24,20.07,20.18,337825
5-Apr-16,20.25,20.29,20.15,20.16,179073
4-Apr-16,20.40,20.45,20.25,20.27,512629
1-Apr-16,20.41,20.51,20.36,20.49,542143
31-Mar-16,20.68,20.69,20.42,20.60,364250
30-Mar-16,21.00,21.03,20.67,20.69,219302
29-Mar-16,20.82,20.95,20.82,20.93,594242
28-Mar-16,20.79,21.01,20.79,20.88,394838
24-Mar-16,20.86,20.93,20.74,20.79,466907
23-Mar-16,20.95,21.00,20.90,20.98,1086013
22-Mar-16,21.09,21.16,21.04,21.16,493180
21-Mar-16,21.09,21.15,20.98,21.05,313416
18-Mar-16,21.19,21.20,21.07,21.09,673095
17-Mar-16,21.28,21.28,21.12,21.15,487857
16-Mar-16,20.87,21.02,20.83,21.02,248993
15-Mar-16,20.89,20.94,20.85,20.92,128229
14-Mar-16,20.83,20.96,20.75,20.94,249172
11-Mar-16,20.71,20.82,20.71,20.82,521993
10-Mar-16,20.45,20.63,20.43,20.62,860316
9-Mar-16,20.41,20.46,20.36,20.43,902290
8-Mar-16,20.32,20.43,20.27,20.41,265241
7-Mar-16,20.35,20.41,20.29,20.35,640566
4-Mar-16,20.29,20.36,20.23,20.36,832060
3-Mar-16,20.09,20.14,20.01,20.13,168061
2-Mar-16,19.92,20.02,19.88,19.98,154833
1-Mar-16,19.92,19.92,19.84,19.92,378562
29-Feb-16,20.03,20.03,19.91,19.97,161808
26-Feb-16,20.08,20.08,19.90,19.97,126593
25-Feb-16,20.09,20.13,20.01,20.01,178994
24-Feb-16,19.86,20.04,19.86,20.04,229638
23-Feb-16,19.99,20.03,19.88,19.99,159675
22-Feb-16,19.89,19.98,19.89,19.94,88842
19-Feb-16,19.84,19.86,19.75,19.78,101579
18-Feb-16,19.94,19.99,19.86,19.86,61819
17-Feb-16,19.76,19.98,19.76,19.91,87669
16-Feb-16,19.73,19.86,19.69,19.86,80186
12-Feb-16,19.71,19.77,19.66,19.70,51135
11-Feb-16,19.57,19.66,19.55,19.63,105313
10-Feb-16,19.72,19.80,19.68,19.72,85285
9-Feb-16,19.74,19.82,19.70,19.71,139615
8-Feb-16,19.86,19.89,19.75,19.78,88568
5-Feb-16,19.99,20.04,19.92,19.92,175082
4-Feb-16,20.20,20.22,20.02,20.03,101531
3-Feb-16,20.08,20.17,20.03,20.13,99302
2-Feb-16,20.04,20.08,19.98,20.05,671932
1-Feb-16,20.00,20.15,19.98,20.08,288704
29-Jan-16,20.02,20.10,19.97,19.99,203388
28-Jan-16,20.10,20.12,19.98,20.03,211862
27-Jan-16,20.17,20.20,20.09,20.10,169550
26-Jan-16,20.08,20.18,20.08,20.13,62483
25-Jan-16,20.11,20.19,20.04,20.10,469130
22-Jan-16,20.18,20.25,20.08,20.13,306816
21-Jan-16,19.85,20.07,19.82,20.01,196305
20-Jan-16,19.87,19.90,19.67,19.79,539024
19-Jan-16,20.00,20.15,19.97,20.07,545412
15-Jan-16,19.91,19.98,19.88,19.97,238743
14-Jan-16,19.99,20.04,19.92,19.99,95570
13-Jan-16,20.04,20.11,20.00,20.00,142285
12-Jan-16,19.79,20.00,19.77,19.95,220140
11-Jan-16,20.00,20.00,19.76,19.83,325637
8-Jan-16,20.16,20.27,20.11,20.13,174687
7-Jan-16,20.09,20.18,20.05,20.06,161648
6-Jan-16,20.13,20.18,20.12,20.14,122217
5-Jan-16,20.35,20.39,20.27,20.28,265860
4-Jan-16,20.51,20.52,20.29,20.41,182234
31-Dec-15,20.64,20.68,20.60,20.61,250771
30-Dec-15,20.57,20.62,20.52,20.58,353062
29-Dec-15,20.41,20.49,20.38,20.49,470681
28-Dec-15,20.42,20.45,20.36,20.38,667426
24-Dec-15,20.48,20.51,20.44,20.48,111014
23-Dec-15,20.38,20.54,20.36,20.48,488028
22-Dec-15,20.36,20.42,20.29,20.34,358827
21-Dec-15,20.33,20.49,20.30,20.33,926447
18-Dec-15,20.31,20.55,20.26,20.40,673556
17-Dec-15,20.07,20.18,19.94,20.17,3234336
16-Dec-15,20.36,20.38,20.16,20.22,561855
15-Dec-15,20.44,20.48,20.36,20.38,738178
14-Dec-15,20.40,20.52,20.38,20.42,394119
11-Dec-15,20.55,20.60,20.42,20.49,379984
10-Dec-15,20.50,20.67,20.47,20.63,264548
9-Dec-15,20.56,20.69,20.51,20.61,468413
8-Dec-15,20.59,20.68,20.47,20.49,400099
7-Dec-15,20.84,20.89,20.64,20.65,577443
4-Dec-15,20.88,20.95,20.86,20.95,559020
3-Dec-15,20.62,20.89,20.62,20.84,563869
2-Dec-15,20.71,20.72,20.59,20.60,473847
1-Dec-15,20.52,20.80,20.49,20.80,490863
30-Nov-15,20.55,20.60,20.45,20.51,209475
27-Nov-15,20.66,20.67,20.58,20.58,140552
25-Nov-15,20.62,20.73,20.58,20.72,231790
24-Nov-15,20.75,20.83,20.61,20.62,227351
23-Nov-15,20.57,20.77,20.53,20.74,318922
20-Nov-15,20.70,20.80,20.63,20.68,330544
19-Nov-15,20.47,20.59,20.47,20.59,146581
18-Nov-15,20.41,20.41,20.27,20.33,171168
17-Nov-15,20.40,20.43,20.30,20.38,158395
16-Nov-15,20.42,20.43,20.33,20.36,193073
13-Nov-15,20.62,20.64,20.38,20.41,408040
12-Nov-15,20.43,20.64,20.42,20.63,216375
11-Nov-15,20.48,20.52,20.43,20.52,246183
10-Nov-15,20.49,20.53,20.21,20.31,424820
9-Nov-15,20.72,20.73,20.39,20.39,394645
6-Nov-15,20.70,20.78,20.67,20.76,164600
5-Nov-15,21.00,21.07,20.86,20.88,245294
4-Nov-15,21.14,21.14,21.01,21.03,319355
3-Nov-15,21.21,21.30,21.21,21.22,238482
2-Nov-15,21.23,21.23,21.12,21.18,280620
30-Oct-15,21.19,21.30,21.19,21.28,253449
29-Oct-15,21.15,21.24,21.13,21.13,206559
28-Oct-15,21.14,21.20,21.11,21.18,296074
27-Oct-15,21.15,21.21,21.04,21.08,117951
26-Oct-15,21.09,21.22,21.09,21.19,188522
23-Oct-15,21.14,21.18,20.98,21.07,248071
22-Oct-15,21.38,21.40,21.20,21.21,190569
21-Oct-15,21.32,21.35,21.26,21.31,117436
20-Oct-15,21.29,21.39,21.25,21.39,202509
19-Oct-15,21.17,21.27,21.15,21.17,229111
16-Oct-15,21.24,21.25,21.04,21.20,230403
15-Oct-15,21.39,21.42,21.28,21.29,304683
14-Oct-15,21.59,21.62,21.40,21.42,338291
13-Oct-15,21.34,21.52,21.34,21.51,311552
12-Oct-15,21.32,21.42,21.30,21.37,187489
9-Oct-15,21.39,21.42,21.24,21.28,161443
8-Oct-15,21.25,21.28,21.16,21.25,241986
7-Oct-15,21.42,21.44,21.23,21.26,293709
6-Oct-15,21.05,21.31,21.05,21.29,301746
5-Oct-15,20.99,21.07,20.96,21.02,182102
2-Oct-15,20.80,20.99,20.76,20.93,402291
1-Oct-15,20.93,20.98,20.77,20.79,234106
30-Sep-15,20.92,21.06,20.83,20.88,719634
29-Sep-15,20.89,20.96,20.87,20.89,195225
28-Sep-15,21.09,21.14,20.90,20.96,249085
25-Sep-15,20.93,21.13,20.93,21.13,287175
24-Sep-15,20.57,20.79,20.53,20.76,185706
23-Sep-15,20.74,20.79,20.68,20.69,92312
22-Sep-15,20.80,20.83,20.69,20.71,241472
21-Sep-15,20.73,20.94,20.72,20.89,224854
18-Sep-15,20.89,20.90,20.72,20.74,187551
17-Sep-15,20.90,20.94,20.86,20.87,158610
16-Sep-15,21.08,21.09,20.89,20.95,204012
15-Sep-15,21.15,21.18,21.08,21.08,206954
14-Sep-15,21.09,21.21,21.07,21.19,265108
11-Sep-15,20.95,21.00,20.67,21.00,273320
10-Sep-15,20.88,20.96,20.85,20.92,76988
9-Sep-15,21.05,21.07,20.94,20.96,303544
8-Sep-15,20.70,20.94,20.70,20.93,190144
4-Sep-15,20.75,20.83,20.68,20.69,142818
3-Sep-15,20.67,20.80,20.66,20.68,151731
2-Sep-15,20.76,20.76,20.55,20.62,599002
1-Sep-15,20.79,20.83,20.66,20.66,196847
31-Aug-15,20.78,20.89,20.67,20.88,184607
28-Aug-15,20.94,21.02,20.86,20.88,215181
27-Aug-15,20.86,20.97,20.78,20.91,168235
26-Aug-15,20.79,20.83,20.62,20.68,272931
25-Aug-15,21.00,21.09,20.74,20.77,382555
24-Aug-15,20.43,20.82,20.33,20.74,710354
21-Aug-15,21.18,21.20,20.83,20.85,512998
20-Aug-15,21.04,21.30,21.04,21.26,191989
19-Aug-15,21.33,21.38,21.12,21.14,166650
18-Aug-15,21.24,21.36,21.23,21.31,211245
17-Aug-15,21.41,21.41,21.29,21.31,195591
14-Aug-15,21.34,21.45,21.30,21.36,282607
13-Aug-15,21.20,21.39,21.15,21.39,588145
12-Aug-15,21.62,21.66,21.02,21.11,1012499
11-Aug-15,21.73,21.73,21.53,21.65,327067
10-Aug-15,21.55,21.85,21.55,21.85,536864
7-Aug-15,21.36,21.53,21.36,21.50,176006
6-Aug-15,21.50,21.52,21.33,21.34,203297
5-Aug-15,21.46,21.53,21.44,21.52,221873
4-Aug-15,21.47,21.56,21.45,21.50,261920
3-Aug-15,21.29,21.45,21.28,21.41,883623
31-Jul-15,21.68,21.69,21.44,21.46,244298
30-Jul-15,21.70,21.74,21.58,21.60,246538
29-Jul-15,21.61,21.66,21.52,21.55,472219
