Date,Open,High,Low,Close,Volume
25-Aug-16,13.55,13.60,13.54,13.59,105920
24-Aug-16,13.70,13.70,13.53,13.55,1955974
23-Aug-16,13.75,13.76,13.73,13.74,18365
22-Aug-16,13.73,13.76,13.73,13.73,131094
19-Aug-16,13.76,13.82,13.74,13.82,236818
18-Aug-16,13.92,13.92,13.85,13.85,33298
17-Aug-16,13.77,13.85,13.76,13.82,74423
16-Aug-16,13.73,13.81,13.69,13.80,77833
15-Aug-16,13.61,13.73,13.59,13.73,334130
12-Aug-16,13.66,13.66,13.55,13.57,244571
11-Aug-16,13.75,13.80,13.71,13.76,2150106
10-Aug-16,13.83,13.85,13.71,13.72,180885
9-Aug-16,13.66,13.69,13.64,13.66,109773
8-Aug-16,13.75,13.77,13.71,13.72,76528
5-Aug-16,13.70,13.71,13.64,13.71,67850
4-Aug-16,13.61,13.67,13.59,13.63,391543
3-Aug-16,13.68,13.78,13.64,13.76,152246
2-Aug-16,13.86,13.90,13.71,13.71,687867
1-Aug-16,13.76,13.80,13.66,13.67,531859
29-Jul-16,13.62,13.75,13.58,13.73,111883
28-Jul-16,13.47,13.58,13.45,13.58,1444732
27-Jul-16,13.51,13.52,13.34,13.36,81363
26-Jul-16,13.58,13.61,13.55,13.56,216426
25-Jul-16,13.67,13.67,13.57,13.67,53179
22-Jul-16,13.77,13.78,13.62,13.68,119398
21-Jul-16,13.75,13.83,13.67,13.70,65514
20-Jul-16,13.66,13.74,13.63,13.69,76360
19-Jul-16,13.80,13.81,13.77,13.79,48289
18-Jul-16,13.67,13.76,13.65,13.73,279499
15-Jul-16,13.81,13.89,13.70,13.73,112183
14-Jul-16,13.74,13.78,13.70,13.76,506983
13-Jul-16,13.73,13.74,13.65,13.69,2142302
12-Jul-16,13.60,13.71,13.59,13.68,71879
11-Jul-16,13.46,13.49,13.34,13.36,29240
8-Jul-16,13.35,13.38,13.32,13.36,88835
7-Jul-16,13.33,13.33,13.17,13.20,143287
6-Jul-16,13.21,13.36,13.19,13.35,35497
