Date,Open,High,Low,Close,Volume
10-Jun-16,15.43,15.48,15.34,15.36,2965654
9-Jun-16,15.44,15.57,15.42,15.55,3062151
8-Jun-16,15.50,15.59,15.47,15.58,2748203
7-Jun-16,15.19,15.32,15.18,15.32,1394192
6-Jun-16,15.14,15.20,15.09,15.17,2936937
3-Jun-16,15.01,15.02,14.91,14.99,2211324
2-Jun-16,14.79,14.99,14.76,14.89,6854413
1-Jun-16,14.60,14.86,14.58,14.86,3179177
31-May-16,14.81,14.89,14.70,14.71,10014960
27-May-16,14.71,14.83,14.67,14.80,1472520
26-May-16,14.83,14.85,14.67,14.74,1422519
25-May-16,14.62,14.76,14.60,14.75,1638538
24-May-16,14.53,14.69,14.53,14.58,964187
23-May-16,14.49,14.61,14.48,14.58,1290225
20-May-16,14.68,14.74,14.57,14.66,3424840
19-May-16,14.49,14.62,14.40,14.60,5004334
18-May-16,14.65,14.82,14.62,14.64,1987253
17-May-16,14.63,14.77,14.62,14.75,1425240
16-May-16,14.62,14.69,14.58,14.64,3273513
13-May-16,14.41,14.51,14.38,14.48,1550842
12-May-16,14.53,14.53,14.32,14.50,1270674
11-May-16,14.21,14.50,14.16,14.48,1851090
10-May-16,13.92,14.18,13.92,14.15,1420899
9-May-16,13.96,13.99,13.80,13.81,2163340
6-May-16,14.00,14.24,13.97,14.12,6854168
5-May-16,14.34,14.34,13.96,14.03,1184157
4-May-16,14.24,14.32,14.06,14.17,2020996
3-May-16,14.29,14.30,14.09,14.16,2723550
2-May-16,14.52,14.52,14.35,14.38,6749044
29-Apr-16,14.60,14.63,14.48,14.58,8719280
28-Apr-16,14.37,14.51,14.34,14.44,1944179
27-Apr-16,14.32,14.39,14.13,14.36,1682622
26-Apr-16,14.11,14.25,14.07,14.23,1528322
25-Apr-16,14.08,14.15,14.01,14.05,1574188
22-Apr-16,14.15,14.27,14.02,14.06,2134911
21-Apr-16,14.26,14.26,14.04,14.12,2701963
20-Apr-16,13.85,14.24,13.82,14.18,2408153
19-Apr-16,13.76,13.94,13.74,13.91,2226268
