Date,Open,High,Low,Close,Volume
25-Aug-16,40.33,40.48,40.33,40.40,56278
24-Aug-16,40.68,40.68,40.46,40.51,36175
23-Aug-16,41.17,41.23,41.00,41.03,53519
22-Aug-16,41.05,41.12,40.93,41.05,95017
19-Aug-16,41.38,41.53,41.30,41.33,266843
18-Aug-16,41.79,41.87,41.70,41.81,64375
17-Aug-16,41.61,41.74,41.05,41.65,163786
16-Aug-16,41.58,41.84,41.55,41.70,174257
15-Aug-16,41.52,41.67,41.50,41.55,108986
12-Aug-16,42.08,42.10,41.39,41.44,26589
11-Aug-16,41.98,42.12,41.60,41.65,43203
10-Aug-16,42.18,42.18,41.90,41.96,75916
9-Aug-16,41.58,41.71,41.56,41.68,42583
8-Aug-16,41.39,41.58,41.39,41.50,19541
5-Aug-16,41.83,41.83,41.47,41.49,50961
4-Aug-16,42.39,42.49,42.35,42.35,42044
3-Aug-16,42.51,42.51,42.25,42.34,141684
2-Aug-16,42.61,42.74,42.54,42.63,52919
1-Aug-16,42.18,42.31,42.08,42.27,111789
29-Jul-16,41.95,42.30,41.82,42.28,224288
28-Jul-16,41.87,41.95,41.61,41.80,32648
27-Jul-16,41.44,42.03,41.24,42.03,38974
26-Jul-16,41.15,41.17,41.07,41.14,8944
25-Jul-16,40.93,41.17,40.82,40.94,28703
22-Jul-16,41.30,41.30,41.10,41.21,10323
21-Jul-16,40.93,41.60,40.93,41.58,69610
20-Jul-16,40.93,41.14,40.86,40.86,109207
19-Jul-16,41.48,41.61,41.46,41.59,56302
18-Jul-16,41.54,41.65,41.46,41.64,231747
15-Jul-16,41.48,41.67,41.40,41.57,80864
14-Jul-16,41.49,41.79,41.34,41.79,33271
13-Jul-16,42.02,42.11,41.85,42.11,41803
12-Jul-16,42.16,42.16,41.60,41.70,107058
11-Jul-16,42.36,42.51,42.26,42.30,55764
8-Jul-16,42.21,42.60,42.00,42.60,526267
7-Jul-16,42.27,42.28,41.89,42.16,192459
6-Jul-16,42.54,42.71,42.36,42.47,146209
5-Jul-16,42.04,42.28,41.80,42.24,444046
1-Jul-16,41.51,41.89,41.47,41.87,633278
30-Jun-16,40.65,40.94,40.56,40.94,214026
29-Jun-16,40.60,40.88,40.54,40.57,105332
28-Jun-16,40.27,40.36,40.15,40.23,301337
27-Jun-16,40.53,40.62,40.33,40.53,242380
24-Jun-16,40.57,40.62,40.18,40.44,128839
23-Jun-16,38.79,38.91,38.69,38.69,65610
22-Jun-16,38.79,38.95,38.77,38.86,29007
21-Jun-16,39.04,39.13,38.81,38.84,111186
20-Jun-16,39.29,39.59,39.25,39.58,274815
17-Jun-16,39.49,39.76,39.39,39.73,505374
16-Jun-16,40.17,40.27,39.09,39.09,813419
15-Jun-16,39.38,39.64,39.34,39.63,14898
14-Jun-16,39.47,39.47,39.23,39.35,35263
13-Jun-16,39.41,39.41,39.15,39.32,14371
10-Jun-16,39.00,39.12,38.91,39.05,9925
9-Jun-16,38.68,38.97,38.68,38.95,11368
8-Jun-16,38.54,38.68,38.54,38.65,16916
7-Jun-16,37.80,37.99,37.75,37.87,25136
6-Jun-16,37.89,38.01,37.83,37.95,39443
3-Jun-16,37.80,37.89,37.72,37.88,105066
2-Jun-16,36.90,36.98,36.87,36.87,15135
1-Jun-16,36.95,37.03,36.72,37.03,69960
31-May-16,36.96,37.08,36.91,36.98,42973
27-May-16,37.12,37.18,36.90,36.99,16339
26-May-16,37.66,37.66,37.23,37.26,17519
25-May-16,37.30,37.41,37.22,37.37,36414
24-May-16,37.69,37.78,37.42,37.42,17688
23-May-16,37.92,38.14,37.88,38.06,5045
20-May-16,38.36,38.36,38.09,38.18,5502
19-May-16,37.93,38.26,37.93,38.23,73599
18-May-16,38.82,38.98,38.44,38.44,103213
17-May-16,38.95,39.29,38.95,39.21,44249
16-May-16,39.44,39.44,38.93,39.01,12288
13-May-16,38.80,39.02,38.69,38.97,5123
12-May-16,39.22,39.26,38.80,38.84,463307
11-May-16,39.17,39.27,39.05,39.25,44399
10-May-16,38.75,38.92,38.64,38.79,15456
9-May-16,38.81,38.89,38.65,38.65,13282
6-May-16,39.43,39.72,39.43,39.53,67616
5-May-16,39.44,39.46,38.97,39.21,20353
4-May-16,39.45,39.48,39.02,39.24,164248
3-May-16,39.73,39.73,39.34,39.45,72615
2-May-16,39.90,39.91,39.53,39.60,48435
29-Apr-16,39.55,39.95,39.55,39.85,53996
28-Apr-16,38.63,39.14,38.63,39.09,32843
27-Apr-16,38.42,38.52,38.30,38.33,106348
26-Apr-16,38.12,38.24,38.12,38.21,4349
25-Apr-16,38.05,38.18,38.03,38.04,15017
22-Apr-16,38.23,38.36,37.78,37.96,10123
21-Apr-16,38.72,38.72,38.25,38.37,6939
20-Apr-16,38.50,38.54,38.21,38.22,28398
19-Apr-16,38.45,38.48,38.35,38.35,7253
18-Apr-16,37.81,37.81,37.52,37.57,8016
15-Apr-16,37.43,37.64,37.42,37.64,8511
14-Apr-16,37.64,37.64,37.34,37.37,11603
13-Apr-16,38.05,38.05,37.83,37.87,11493
12-Apr-16,38.09,38.22,38.00,38.19,7162
11-Apr-16,37.77,38.10,37.77,38.03,8442
8-Apr-16,37.15,37.43,37.15,37.32,41836
7-Apr-16,37.35,37.40,37.15,37.28,38943
6-Apr-16,36.73,36.90,36.62,36.78,7064
5-Apr-16,37.10,37.10,36.88,37.04,54889
4-Apr-16,36.72,36.72,36.53,36.53,59462
1-Apr-16,36.59,36.82,36.44,36.79,8764
31-Mar-16,37.36,37.36,37.16,37.21,14600
30-Mar-16,37.23,37.28,36.86,36.90,6522
29-Mar-16,37.00,37.42,36.88,37.41,50172
28-Mar-16,36.87,36.96,36.71,36.79,6928
24-Mar-16,36.86,36.88,36.70,36.70,5398
23-Mar-16,36.87,36.95,36.79,36.82,20924
22-Mar-16,38.01,38.01,37.76,37.84,5406
21-Mar-16,37.71,37.78,37.67,37.68,7633
18-Mar-16,37.83,38.00,37.83,37.93,19082
17-Mar-16,38.30,38.33,38.03,38.03,16592
16-Mar-16,37.04,38.05,37.01,38.04,18042
15-Mar-16,37.11,37.21,37.04,37.16,20933
14-Mar-16,37.89,37.89,37.12,37.19,55073
11-Mar-16,38.18,38.27,37.62,37.63,26900
10-Mar-16,37.90,38.34,37.89,38.26,81135
9-Mar-16,37.50,37.85,37.44,37.58,40021
8-Mar-16,38.26,38.34,37.88,37.88,12952
7-Mar-16,38.18,38.31,37.98,38.19,39332
4-Mar-16,38.06,38.51,37.95,38.00,48004
3-Mar-16,37.29,38.03,37.29,37.89,67606
2-Mar-16,37.09,37.43,37.01,37.22,78144
1-Mar-16,37.20,37.20,36.76,36.89,712548
29-Feb-16,36.77,37.16,36.77,37.13,19174
26-Feb-16,36.92,36.94,36.26,36.66,36759
25-Feb-16,36.97,37.36,36.93,37.22,232173
24-Feb-16,37.50,37.79,36.97,37.03,8389
23-Feb-16,36.88,37.00,36.84,36.94,6387
22-Feb-16,36.49,36.64,36.45,36.46,33243
19-Feb-16,37.01,37.26,36.95,37.13,4909
18-Feb-16,36.52,37.42,36.52,37.35,9882
17-Feb-16,36.49,36.66,36.49,36.51,6752
16-Feb-16,36.57,36.79,36.33,36.33,357140
12-Feb-16,37.43,37.54,37.32,37.49,10407
11-Feb-16,37.48,38.12,37.44,37.59,15122
10-Feb-16,36.06,36.24,35.97,36.22,18313
