Date,Open,High,Low,Close,Volume
10-Jun-16,38.44,38.52,38.16,38.22,16898
9-Jun-16,38.98,39.19,38.98,39.09,67493
8-Jun-16,39.32,39.50,39.32,39.50,85819
7-Jun-16,39.04,39.32,39.04,39.26,57914
6-Jun-16,38.76,39.06,38.76,38.99,34075
3-Jun-16,38.52,38.79,38.40,38.79,47096
2-Jun-16,38.08,38.24,37.94,38.19,28434
1-Jun-16,37.98,38.08,37.90,38.02,37647
31-May-16,37.90,38.09,37.83,37.93,75956
27-May-16,37.99,38.11,37.86,37.96,10512
26-May-16,38.02,38.12,37.85,38.00,35955
25-May-16,37.72,37.82,37.57,37.70,38347
24-May-16,37.56,38.27,37.45,37.62,49626
23-May-16,37.39,37.46,37.26,37.26,18263
20-May-16,37.38,37.43,37.27,37.32,72136
19-May-16,36.96,37.13,36.78,36.95,50502
18-May-16,37.40,37.79,37.13,37.31,53003
17-May-16,37.64,37.79,37.41,37.46,102822
16-May-16,37.58,37.82,37.58,37.75,32103
13-May-16,37.72,37.80,37.29,37.39,25848
12-May-16,38.12,38.12,37.80,37.85,117801
11-May-16,38.03,38.29,38.03,38.08,34695
10-May-16,37.69,38.13,37.69,38.09,314165
9-May-16,37.85,37.85,37.37,37.52,66750
6-May-16,38.01,38.22,38.01,38.13,19720
5-May-16,38.58,38.64,38.00,38.07,27432
4-May-16,38.47,38.47,37.99,38.08,92283
3-May-16,38.89,38.94,38.51,38.56,37020
2-May-16,39.44,39.44,39.11,39.32,30893
29-Apr-16,39.35,39.40,39.02,39.25,23295
28-Apr-16,39.41,39.63,39.24,39.27,89531
27-Apr-16,39.39,39.79,39.26,39.68,23333
26-Apr-16,39.42,39.52,39.34,39.47,24591
25-Apr-16,39.56,39.56,39.20,39.28,38757
22-Apr-16,39.54,39.63,39.38,39.38,21126
21-Apr-16,40.01,40.01,39.46,39.52,40875
20-Apr-16,40.05,40.31,39.91,40.07,115174
19-Apr-16,40.15,40.41,40.13,40.31,38067
18-Apr-16,39.60,39.95,39.49,39.77,74948
15-Apr-16,39.67,39.74,39.54,39.60,67421
14-Apr-16,39.81,39.81,39.63,39.69,30318
13-Apr-16,39.71,39.89,39.67,39.84,28364
12-Apr-16,39.08,39.52,39.05,39.45,59916
11-Apr-16,39.09,39.26,39.00,39.00,33896
8-Apr-16,38.62,38.75,38.45,38.63,102897
7-Apr-16,38.27,38.27,37.88,37.96,84646
6-Apr-16,38.25,38.71,38.15,38.70,19681
5-Apr-16,38.44,38.44,38.02,38.04,261009
4-Apr-16,39.15,39.15,38.73,38.73,97093
1-Apr-16,38.68,39.18,38.68,39.12,46317
31-Mar-16,39.05,39.20,38.84,38.90,61177
30-Mar-16,39.01,39.26,38.87,38.89,75584
29-Mar-16,38.09,38.62,38.00,38.55,17223
28-Mar-16,38.30,38.34,38.10,38.18,37083
24-Mar-16,38.15,38.30,37.92,38.23,24666
