Date,Dividends
2016-04-27,0.150000
2016-01-27,0.400000
2015-10-28,0.150000
2015-07-29,0.150000
2015-04-29,0.150000
2015-01-28,0.150000
2014-10-29,0.125000
2014-07-30,0.125000
2014-04-30,0.125000
2014-01-29,0.125000
2013-10-30,0.100000
2013-07-31,0.100000
2013-05-01,0.100000
2013-01-28,0.100000
2012-10-31,0.050000
2012-08-01,0.050000
2012-04-30,0.050000
2012-01-27,0.050000
2006-07-31,0.050000
2006-04-28,0.100000
2006-01-26,0.100000
2005-10-28,0.100000
2005-07-29,0.100000
2005-04-28,0.100000
2005-01-26,0.100000
2004-10-28,0.100000
2004-07-28,0.100000
2004-04-28,0.100000
2004-01-28,0.100000
2003-10-29,0.100000
2003-07-30,0.100000
2003-04-30,0.100000
2003-01-29,0.100000
2002-10-30,0.100000
2002-07-31,0.100000
2002-05-01,0.100000
2002-01-28,0.100000
2001-10-31,0.150000
2001-08-01,0.300000
2001-04-30,0.300000
2001-01-26,0.300000
2000-10-30,0.300000
2000-07-24,0.286010
2000-06-29,0.000000
2000-04-28,0.274770
2000-01-28,0.274770
1999-10-28,0.274770
1999-07-29,0.252790
1999-04-29,0.252790
1999-01-27,0.252790
1998-10-28,0.252790
1998-07-29,0.230810
1998-04-29,0.230810
1998-04-08,0.000000
1998-01-28,0.153280
1997-10-29,0.153280
1997-07-30,0.153280
1997-04-30,0.153280
1997-01-28,0.140510
1996-10-30,0.140510
1996-07-31,0.140510
1996-04-30,0.127730
1996-01-29,0.127730
1995-10-30,0.127730
1995-07-31,0.113140
1995-04-26,0.113140
1995-01-24,0.094890
1994-10-26,0.094890
1994-07-27,0.082110
1994-04-26,0.082110
1994-01-24,0.072990
1993-10-26,0.072990
1993-07-27,0.072990
1993-04-26,0.072990
1993-01-25,0.072990
1992-10-26,0.072990
1992-07-27,0.072990
1992-04-27,0.072990
1992-01-27,0.072990
1991-10-28,0.072990
1991-07-29,0.072990
1991-04-26,0.072990
1991-01-24,0.136860
1990-10-26,0.136860
1990-07-27,0.136860
1990-04-26,0.136860
1990-01-24,0.136860
1989-10-26,0.136860
1989-07-27,0.136860
1989-04-26,0.136860
1989-01-24,0.136860
1988-10-26,0.109490
1988-07-27,0.109490
1988-04-26,0.109490
1988-01-25,0.091240
1987-10-27,0.091240
1987-07-28,0.068430
1987-04-27,0.068430
1987-01-26,0.059300
1986-10-27,0.059300
1986-07-29,0.050180
1986-04-28,0.050180
1986-01-24,0.042580
1985-10-28,0.042580
1985-07-30,0.036500
1985-04-26,0.036500
1985-01-24,0.030410
1984-11-26,0.030410
1984-10-26,0.024330
1984-07-27,0.024330
1984-04-26,0.024330
1984-01-25,0.018250
1983-10-26,0.018250
1983-07-27,0.012170
1981-10-26,0.012170
1981-07-27,0.012170
1981-04-27,0.012170
1981-01-26,0.012170
1980-10-27,0.012170
1980-07-28,0.012170
1980-04-28,0.040550
1980-01-25,0.040550
1979-10-26,0.040550
1979-07-27,0.040550
1979-04-26,0.040550
1979-01-24,0.036500
1978-10-25,0.036500
1978-07-25,0.036500
1978-04-25,0.036500
1978-01-23,0.032440
1977-10-25,0.032440
1977-07-27,0.032440
1977-04-26,0.032440
1977-01-25,0.025950
1976-10-26,0.025950
1976-07-27,0.025950
1976-04-23,0.019460
1976-01-23,0.019460
1975-10-24,0.019460
1975-07-25,0.019460
1975-04-24,0.019460
