Date,Open,High,Low,Close,Volume
10-Jun-16,121.55,122.10,121.18,121.74,13939966
9-Jun-16,120.61,121.48,120.55,121.25,12173954
8-Jun-16,120.30,120.78,120.23,120.58,11661736
7-Jun-16,118.50,119.02,118.41,118.82,4602865
6-Jun-16,118.89,119.17,118.46,118.92,9887863
3-Jun-16,118.25,118.89,118.23,118.88,14605056
2-Jun-16,115.78,115.97,115.58,115.67,4591562
1-Jun-16,115.97,116.14,115.20,115.94,8399598
31-May-16,115.76,116.40,115.50,116.06,8187605
27-May-16,116.27,116.36,115.29,115.62,8677991
26-May-16,117.57,117.63,116.39,116.58,5886269
25-May-16,116.59,117.06,116.32,116.98,10487597
24-May-16,118.17,118.23,117.25,117.30,12697313
23-May-16,118.86,119.60,118.75,119.37,8601563
20-May-16,120.19,120.32,119.31,119.71,10371500
19-May-16,119.00,119.98,118.92,119.87,13604777
18-May-16,121.22,121.92,119.88,120.10,13368732
17-May-16,121.58,122.52,121.48,122.22,8578494
16-May-16,122.93,122.97,121.38,121.80,7069755
13-May-16,121.09,121.86,120.66,121.71,7664769
12-May-16,122.02,122.39,121.00,121.16,7435863
11-May-16,121.85,122.16,121.38,122.12,7571323
10-May-16,120.74,121.38,120.08,120.98,9128616
9-May-16,121.20,121.28,120.59,120.65,9197684
6-May-16,122.83,123.80,122.59,123.18,11305739
5-May-16,122.63,122.73,121.25,122.07,8826999
4-May-16,122.85,123.23,121.51,122.21,9348660
3-May-16,123.73,123.82,122.51,122.96,9051137
2-May-16,123.78,123.96,123.04,123.24,12121320
29-Apr-16,122.43,123.93,122.34,123.65,18687599
28-Apr-16,119.92,121.42,119.73,121.29,15044339
27-Apr-16,118.97,119.70,118.43,119.04,7965623
26-Apr-16,118.79,118.89,118.45,118.70,9881728
25-Apr-16,118.14,118.71,118.11,118.23,4362444
22-Apr-16,118.71,119.02,117.28,117.89,9984027
21-Apr-16,120.42,120.55,119.13,119.43,14591985
20-Apr-16,119.67,120.08,118.72,118.97,10089103
19-Apr-16,119.87,120.09,119.37,119.58,20470789
18-Apr-16,118.53,118.56,117.63,117.74,5798758
15-Apr-16,117.33,118.12,117.19,117.92,7751089
14-Apr-16,118.09,118.19,116.95,117.11,13151278
13-Apr-16,119.37,119.43,118.56,118.77,8288382
12-Apr-16,120.23,120.34,119.55,120.05,9618828
11-Apr-16,119.47,120.30,119.42,120.03,9828584
8-Apr-16,118.07,118.77,117.98,118.43,9037877
7-Apr-16,118.65,118.85,115.00,118.61,11807487
6-Apr-16,116.70,117.38,116.26,116.94,7430116
