Date,Open,High,Low,Close,Volume
10-Jun-16,15.98,16.02,15.81,15.84,177563
9-Jun-16,16.05,16.18,16.05,16.15,242330
8-Jun-16,16.11,16.26,16.11,16.25,499150
7-Jun-16,15.85,15.98,15.85,15.97,101141
6-Jun-16,15.84,15.90,15.72,15.84,315921
3-Jun-16,15.69,15.74,15.55,15.67,344733
2-Jun-16,15.47,15.70,15.41,15.62,235302
1-Jun-16,15.28,15.58,15.25,15.57,628154
31-May-16,15.60,15.67,15.40,15.42,1705738
27-May-16,15.46,15.58,15.39,15.58,238198
26-May-16,15.59,15.61,15.44,15.52,200421
25-May-16,15.40,15.54,15.34,15.51,364413
24-May-16,15.26,15.42,15.25,15.32,176191
23-May-16,15.17,15.31,15.13,15.25,323038
20-May-16,15.40,15.49,15.30,15.39,61403
19-May-16,15.24,15.38,15.12,15.37,155305
18-May-16,15.46,15.62,15.37,15.39,408243
17-May-16,15.40,15.58,15.39,15.58,454976
16-May-16,15.37,15.44,15.34,15.43,782886
13-May-16,15.09,15.17,15.03,15.15,62064
12-May-16,15.20,15.22,15.00,15.18,293240
11-May-16,14.77,15.14,14.73,15.13,170690
10-May-16,14.50,14.81,14.50,14.80,113757
9-May-16,14.63,14.63,14.39,14.42,160647
6-May-16,14.60,14.89,14.60,14.77,110192
5-May-16,14.99,15.00,14.61,14.67,70349
4-May-16,14.83,14.88,14.57,14.70,150347
3-May-16,14.88,14.88,14.64,14.70,881940
2-May-16,15.17,15.17,14.93,14.97,265738
29-Apr-16,15.25,15.32,15.07,15.22,3355540
28-Apr-16,15.06,15.19,15.02,15.10,114452
27-Apr-16,14.99,15.06,14.75,15.05,186177
26-Apr-16,14.71,14.84,14.66,14.84,784522
25-Apr-16,14.74,14.74,14.55,14.60,87015
22-Apr-16,14.80,14.90,14.64,14.68,113114
21-Apr-16,14.90,14.90,14.66,14.76,168142
20-Apr-16,14.39,14.90,14.33,14.83,188085
19-Apr-16,14.32,14.52,14.32,14.51,101665
18-Apr-16,13.92,14.25,13.90,14.20,123075
15-Apr-16,14.20,14.27,14.05,14.21,2603911
14-Apr-16,14.42,14.46,14.25,14.33,572129
13-Apr-16,14.40,14.55,14.36,14.39,103749
12-Apr-16,14.19,14.47,14.16,14.43,234918
11-Apr-16,14.02,14.11,13.98,14.06,513588
8-Apr-16,13.82,13.96,13.81,13.95,246873
7-Apr-16,13.48,13.52,13.36,13.51,76492
6-Apr-16,13.35,13.59,13.33,13.55,165112
5-Apr-16,13.26,13.30,13.19,13.28,416763
4-Apr-16,13.46,13.56,13.25,13.29,324372
1-Apr-16,13.53,13.55,13.47,13.51,117346
31-Mar-16,13.77,13.90,13.71,13.79,664469
30-Mar-16,14.01,14.06,13.76,13.77,181690
29-Mar-16,13.78,13.88,13.72,13.88,135408
28-Mar-16,13.96,13.98,13.88,13.98,685636
24-Mar-16,13.80,14.00,13.77,13.99,446276
23-Mar-16,14.19,14.26,14.01,14.04,135962
22-Mar-16,14.28,14.41,14.28,14.40,106579
21-Mar-16,14.32,14.40,14.22,14.37,829438
18-Mar-16,14.47,14.54,14.28,14.31,678340
17-Mar-16,14.35,14.42,14.19,14.38,5305289
16-Mar-16,13.98,14.19,13.94,14.19,191884
15-Mar-16,13.89,13.89,13.79,13.87,324796
14-Mar-16,13.97,14.02,13.85,14.00,151067
11-Mar-16,14.17,14.26,14.11,14.16,140064
10-Mar-16,14.00,14.12,13.91,14.04,497414
9-Mar-16,13.94,14.18,13.91,14.15,7435916
8-Mar-16,14.05,14.05,13.76,13.78,364059
7-Mar-16,13.76,14.08,13.73,14.05,318629
4-Mar-16,13.44,13.70,13.37,13.70,195576
3-Mar-16,13.23,13.38,13.21,13.35,191589
2-Mar-16,13.19,13.37,13.12,13.34,213396
1-Mar-16,13.15,13.29,13.07,13.24,381810
29-Feb-16,13.11,13.22,13.07,13.20,1508370
26-Feb-16,13.29,13.35,12.97,13.03,100484
25-Feb-16,12.91,13.12,12.72,13.05,138919
