Date,Open,High,Low,Close,Volume
10-Jun-16,30.13,30.16,29.81,29.89,93895
9-Jun-16,30.46,30.61,30.46,30.59,248344
8-Jun-16,30.73,30.83,30.69,30.76,81070
7-Jun-16,30.48,30.60,30.48,30.50,34393
6-Jun-16,30.25,30.45,30.25,30.40,540104
3-Jun-16,30.00,30.21,29.96,30.21,64989
2-Jun-16,29.67,29.81,29.54,29.76,33874
1-Jun-16,29.71,29.79,29.60,29.70,80897
31-May-16,29.73,29.97,29.61,29.68,132541
27-May-16,29.57,29.66,29.50,29.56,77823
26-May-16,29.75,29.87,29.55,29.60,34059
25-May-16,29.47,29.64,29.46,29.61,104758
24-May-16,29.35,29.52,29.35,29.46,34476
23-May-16,29.31,29.38,29.24,29.30,31355
20-May-16,29.16,29.26,29.12,29.17,41009
19-May-16,28.94,29.02,28.86,28.95,71622
18-May-16,29.24,29.48,29.08,29.13,47663
17-May-16,29.44,29.55,29.29,29.37,60817
16-May-16,29.26,29.44,29.23,29.40,91528
13-May-16,29.26,29.31,29.10,29.11,138671
12-May-16,29.71,29.71,29.36,29.45,113432
11-May-16,29.47,29.58,29.43,29.47,165610
10-May-16,29.23,29.50,29.23,29.48,173952
9-May-16,29.25,29.26,29.02,29.07,242039
6-May-16,29.03,29.27,29.03,29.25,175730
5-May-16,29.08,29.18,28.90,29.09,355678
4-May-16,29.16,29.23,28.94,28.96,296671
3-May-16,29.44,29.51,29.16,29.32,520466
2-May-16,29.61,29.70,29.49,29.65,179044
29-Apr-16,29.52,29.56,29.31,29.42,63170
28-Apr-16,29.46,29.61,29.33,29.37,51525
27-Apr-16,29.49,29.65,29.44,29.64,79455
26-Apr-16,29.53,29.54,29.42,29.52,148023
25-Apr-16,29.51,29.51,29.36,29.46,76289
22-Apr-16,29.56,29.69,29.45,29.55,69288
21-Apr-16,29.68,29.71,29.51,29.52,61253
20-Apr-16,29.73,29.90,29.64,29.69,64684
19-Apr-16,29.67,29.81,29.64,29.72,102582
18-Apr-16,29.10,29.38,29.10,29.35,40019
15-Apr-16,29.08,29.23,29.04,29.07,173300
14-Apr-16,29.11,29.22,29.08,29.11,62859
13-Apr-16,29.10,29.22,29.02,29.20,87370
12-Apr-16,28.83,29.02,28.75,28.90,392372
11-Apr-16,28.70,28.83,28.64,28.65,114673
8-Apr-16,28.55,28.66,28.45,28.50,174772
7-Apr-16,28.14,28.21,27.92,28.00,116613
6-Apr-16,27.97,28.22,27.93,28.22,325933
5-Apr-16,27.93,27.98,27.82,27.88,106803
4-Apr-16,28.44,28.50,28.26,28.31,95045
1-Apr-16,28.15,28.44,28.11,28.40,477013
31-Mar-16,28.72,28.78,28.57,28.57,72963
30-Mar-16,28.72,28.91,28.53,28.77,87274
29-Mar-16,28.02,28.53,27.96,28.47,40513
28-Mar-16,28.14,28.21,27.92,28.13,63918
24-Mar-16,27.85,28.09,27.77,28.05,67914
23-Mar-16,28.33,28.33,28.10,28.10,103302
22-Mar-16,28.36,28.52,28.34,28.45,59511
21-Mar-16,28.43,28.51,28.35,28.43,41706
18-Mar-16,28.41,28.52,28.37,28.43,41507
17-Mar-16,28.18,28.47,28.15,28.38,95059
16-Mar-16,27.53,28.06,27.48,28.02,267008
15-Mar-16,27.67,27.70,27.55,27.62,33203
14-Mar-16,27.84,27.89,27.78,27.81,38949
11-Mar-16,27.69,27.95,27.64,27.90,66010
10-Mar-16,27.54,27.60,27.17,27.36,77338
9-Mar-16,27.25,27.40,27.20,27.31,202256
8-Mar-16,27.45,27.45,27.23,27.27,31848
7-Mar-16,27.34,27.67,27.34,27.57,21735
4-Mar-16,27.41,27.70,27.41,27.56,41186
3-Mar-16,26.95,27.20,26.89,27.17,79392
2-Mar-16,26.60,26.86,26.60,26.83,197754
1-Mar-16,26.46,26.75,26.36,26.74,229817
29-Feb-16,26.18,26.32,26.12,26.16,59088
26-Feb-16,26.22,26.32,26.05,26.12,98736
25-Feb-16,26.09,26.24,25.95,26.24,47445
