Date,Open,High,Low,Close,Volume
25-Aug-16,41.56,41.58,41.41,41.43,180337
24-Aug-16,41.75,41.75,41.49,41.55,512089
23-Aug-16,41.85,41.88,41.66,41.66,48905
22-Aug-16,41.54,41.67,41.47,41.59,42511
19-Aug-16,41.87,41.87,41.52,41.65,55242
18-Aug-16,41.66,42.03,41.64,42.03,60463
17-Aug-16,41.32,41.57,41.09,41.56,55180
16-Aug-16,41.60,41.60,41.43,41.43,56968
15-Aug-16,41.77,41.88,41.64,41.65,106109
12-Aug-16,41.76,41.90,41.65,41.70,123878
11-Aug-16,41.47,41.64,41.41,41.62,126625
10-Aug-16,41.48,41.53,41.30,41.33,80879
9-Aug-16,41.40,41.54,41.31,41.36,53965
8-Aug-16,41.30,41.47,41.30,41.36,141748
5-Aug-16,41.40,41.40,41.11,41.23,576667
4-Aug-16,41.11,41.37,41.11,41.24,47293
3-Aug-16,40.95,41.15,40.83,41.10,97727
2-Aug-16,41.35,41.35,40.94,41.12,137483
1-Aug-16,41.40,41.49,41.11,41.12,118430
29-Jul-16,41.20,41.56,41.07,41.52,89122
28-Jul-16,40.89,41.06,40.85,41.04,70703
27-Jul-16,41.14,41.17,40.72,40.85,53185
26-Jul-16,41.16,41.27,41.00,41.06,63114
25-Jul-16,41.22,41.27,41.04,41.09,37592
22-Jul-16,41.15,41.24,41.08,41.22,44976
21-Jul-16,41.08,41.21,41.01,41.11,67932
20-Jul-16,41.24,41.24,41.00,41.15,1128452
19-Jul-16,41.01,41.04,40.87,41.00,20263
18-Jul-16,40.89,41.16,40.89,41.08,55860
15-Jul-16,40.90,41.01,40.78,40.92,65755
14-Jul-16,41.03,41.07,40.91,40.98,93860
13-Jul-16,40.94,40.98,40.75,40.86,67345
12-Jul-16,41.00,41.07,40.85,40.85,183415
11-Jul-16,40.67,40.79,40.55,40.70,72145
8-Jul-16,40.26,40.45,40.23,40.45,33782
7-Jul-16,40.38,40.48,39.84,40.01,96764
6-Jul-16,40.06,40.33,39.79,40.29,196748
5-Jul-16,40.39,40.47,40.13,40.24,78427
1-Jul-16,40.58,40.74,40.37,40.49,196888
30-Jun-16,39.88,40.48,39.80,40.46,170951
29-Jun-16,39.53,39.78,39.46,39.71,68882
28-Jun-16,38.95,39.09,38.72,39.07,109600
27-Jun-16,38.34,38.36,37.88,38.26,73125
24-Jun-16,38.36,39.26,38.36,38.46,88315
23-Jun-16,40.46,40.78,40.32,40.71,133667
22-Jun-16,40.26,40.26,39.93,39.93,72989
21-Jun-16,40.08,40.30,39.85,40.12,39366
20-Jun-16,40.73,40.76,40.47,40.53,48048
17-Jun-16,39.84,40.09,39.76,40.06,36782
16-Jun-16,39.27,39.72,39.01,39.71,152785
15-Jun-16,39.60,39.95,39.52,39.53,49422
14-Jun-16,39.58,39.66,39.31,39.53,54516
13-Jun-16,39.71,40.02,39.55,39.75,44135
10-Jun-16,40.36,40.40,39.94,40.05,32895
9-Jun-16,40.65,40.90,40.64,40.85,111925
8-Jun-16,40.91,40.98,40.77,40.85,161162
7-Jun-16,40.61,40.86,40.61,40.76,95227
6-Jun-16,40.44,40.62,40.40,40.53,198202
3-Jun-16,40.00,40.37,39.99,40.31,43436
2-Jun-16,39.62,39.77,39.52,39.77,78822
1-Jun-16,39.64,39.82,39.47,39.82,513654
31-May-16,39.76,40.04,39.66,39.82,72269
27-May-16,39.78,39.89,39.70,39.80,31006
26-May-16,39.77,39.92,39.65,39.78,187045
25-May-16,39.62,39.73,39.56,39.67,26166
24-May-16,39.48,39.57,39.37,39.53,59897
23-May-16,39.36,39.49,39.22,39.25,42786
20-May-16,39.46,39.50,39.32,39.50,160438
19-May-16,39.02,39.30,38.88,39.26,161908
18-May-16,39.65,39.92,39.22,39.36,114231
17-May-16,39.90,40.09,39.71,39.81,37605
16-May-16,39.62,40.00,39.62,39.95,58967
13-May-16,39.69,39.82,39.46,39.54,36538
12-May-16,40.07,40.34,39.72,39.89,23484
11-May-16,39.68,39.87,39.58,39.78,29818
10-May-16,39.58,39.88,39.58,39.86,46926
9-May-16,39.53,39.54,39.31,39.44,44949
6-May-16,39.55,39.76,39.45,39.61,29091
5-May-16,39.80,40.04,39.65,39.76,57743
4-May-16,39.58,39.80,39.58,39.75,122480
3-May-16,39.90,39.99,39.73,39.85,369850
2-May-16,40.24,40.32,39.94,40.22,461069
29-Apr-16,39.93,39.99,39.73,39.97,83598
28-Apr-16,39.84,40.08,39.76,39.86,36521
27-Apr-16,39.58,40.00,39.21,39.89,153976
26-Apr-16,39.58,39.65,39.44,39.50,65409
25-Apr-16,39.25,39.31,39.10,39.24,73392
22-Apr-16,39.17,39.41,39.15,39.33,82008
21-Apr-16,39.66,39.66,39.12,39.23,134820
20-Apr-16,40.08,40.08,39.68,39.68,307898
19-Apr-16,39.76,39.99,39.74,39.96,33133
18-Apr-16,39.16,39.65,39.08,39.58,40161
15-Apr-16,39.17,39.36,39.17,39.27,65330
14-Apr-16,39.46,39.52,39.28,39.35,45875
13-Apr-16,39.64,39.64,39.32,39.50,47797
12-Apr-16,38.87,39.45,38.87,39.34,41347
11-Apr-16,39.07,39.15,38.86,38.86,66464
8-Apr-16,38.54,38.86,38.54,38.73,97638
7-Apr-16,38.09,38.34,38.02,38.11,19170
6-Apr-16,38.03,38.45,38.02,38.43,54592
5-Apr-16,38.19,38.19,37.25,37.97,300447
4-Apr-16,38.92,38.92,38.57,38.62,1020701
