Date,Dividends
2016-03-23,0.196000
2015-12-24,0.382000
2015-09-25,0.196000
2015-07-02,0.252000
2015-03-25,0.245000
2014-12-24,0.289000
2014-09-24,0.173000
2014-07-02,0.247000
2014-03-25,0.149000
2013-12-23,0.296000
2013-09-24,0.159000
2013-07-02,0.189000
2013-03-25,0.117000
2012-12-19,0.478000
2012-09-24,0.232000
2012-06-26,0.185000
2012-03-23,0.126000
2011-12-22,0.219000
2011-09-23,0.122000
2011-07-05,0.150000
2011-03-24,0.049000
2010-12-22,0.194000
2010-09-23,0.071000
2010-07-02,0.095000
2010-03-24,0.048000
2009-12-23,0.121000
2009-09-22,0.053000
2009-07-02,0.075000
2009-03-24,0.072000
2008-12-23,0.142000
2008-09-24,0.092000
2008-07-02,0.136000
2008-03-24,0.047000
2007-12-27,0.123000
2007-09-25,0.132000
2007-06-28,0.101000
2007-03-23,0.062000
2006-12-20,0.138000
2006-09-26,0.084000
2006-06-22,0.056000
2006-03-24,0.022000
2005-12-22,0.085000
2005-09-23,0.011000
