Date,Open,High,Low,Close,Volume
25-Aug-16,75.65,76.15,75.65,76.03,29645
24-Aug-16,76.28,76.52,75.52,75.81,42483
23-Aug-16,76.12,76.55,76.12,76.33,25023
22-Aug-16,75.58,75.91,75.27,75.70,21028
19-Aug-16,75.52,75.76,75.31,75.65,27808
18-Aug-16,75.29,75.80,75.28,75.78,35544
17-Aug-16,75.33,75.42,74.78,75.26,33640
16-Aug-16,75.74,75.74,75.28,75.36,13117
15-Aug-16,75.36,76.04,75.36,75.83,33767
12-Aug-16,75.11,75.30,74.82,75.17,35508
11-Aug-16,75.06,75.34,74.75,75.01,43150
10-Aug-16,75.47,75.55,74.40,74.69,94810
9-Aug-16,75.12,75.41,75.04,75.38,29732
8-Aug-16,74.99,75.25,74.85,74.95,38269
5-Aug-16,74.09,75.07,74.01,74.89,33213
4-Aug-16,73.89,74.09,73.55,73.71,57687
3-Aug-16,73.10,73.87,72.80,73.87,69710
2-Aug-16,73.94,74.08,72.96,73.09,55425
1-Aug-16,74.07,74.33,73.79,73.87,20063
29-Jul-16,73.90,74.56,73.48,73.99,52860
28-Jul-16,74.30,74.30,73.84,73.90,24783
27-Jul-16,74.11,74.48,73.88,74.40,57267
26-Jul-16,73.55,74.04,73.42,73.88,24976
25-Jul-16,73.74,73.78,73.33,73.61,57112
22-Jul-16,73.44,74.07,73.30,73.90,50386
21-Jul-16,74.01,74.20,73.31,73.57,174400
20-Jul-16,73.40,74.10,73.02,73.91,59755
19-Jul-16,73.79,73.91,73.19,73.31,75100
18-Jul-16,73.72,74.10,73.54,73.93,16126
15-Jul-16,73.83,73.86,73.42,73.72,17402
14-Jul-16,74.11,74.19,73.40,73.45,45175
13-Jul-16,74.21,74.25,73.29,73.58,50337
12-Jul-16,73.38,74.41,73.28,73.96,50796
11-Jul-16,72.54,73.10,72.52,72.92,35899
8-Jul-16,71.07,72.37,71.07,72.13,66928
7-Jul-16,70.66,71.05,70.04,70.53,38859
6-Jul-16,69.58,70.49,69.48,70.44,21620
5-Jul-16,70.96,71.38,69.79,70.20,76136
1-Jul-16,70.73,71.54,70.56,71.34,15247
30-Jun-16,69.82,70.72,69.53,70.72,21461
29-Jun-16,68.72,69.81,68.72,69.62,36468
28-Jun-16,68.04,68.80,67.90,68.39,64986
27-Jun-16,68.91,68.91,67.00,67.35,42338
24-Jun-16,69.51,70.33,68.81,69.58,89556
