Date,Dividends
2016-03-18,0.112000
2015-12-18,0.045000
2015-06-19,0.413000
2015-03-20,0.197000
2014-12-19,0.260000
2014-09-19,0.121000
2014-06-20,0.018000
2014-03-21,0.143000
2013-12-20,0.623000
2013-09-20,0.568000
2013-06-21,0.334000
2013-03-15,0.106000
2012-12-21,0.195000
2012-09-21,0.096000
2011-09-16,0.051000
2011-06-17,0.578000
2010-12-17,0.381000
2010-09-17,0.046000
2010-06-18,0.116000
2009-12-18,0.155000
2009-09-18,0.095000
2009-06-19,0.030000
2009-03-20,0.023000
2008-12-19,0.289000
2008-09-19,0.373000
2008-06-20,0.188000
2008-03-20,0.238000
2007-12-21,0.541000
2007-09-21,0.113000
2007-06-15,0.218000
2007-03-16,0.072000
2006-12-15,0.014000
