Date,Open,High,Low,Close,Volume
25-Aug-16,10.88,10.89,10.84,10.85,59663
24-Aug-16,10.92,10.95,10.90,10.90,68176
23-Aug-16,10.94,10.95,10.91,10.91,65441
22-Aug-16,10.86,10.91,10.85,10.91,101136
19-Aug-16,10.88,10.91,10.86,10.90,191270
18-Aug-16,10.89,10.95,10.89,10.95,166104
17-Aug-16,10.83,10.86,10.77,10.84,113476
16-Aug-16,10.87,10.92,10.87,10.88,222717
15-Aug-16,10.86,10.92,10.86,10.91,151091
12-Aug-16,10.89,10.89,10.83,10.86,66545
11-Aug-16,10.84,10.90,10.84,10.88,892994
10-Aug-16,10.81,10.83,10.78,10.79,148598
9-Aug-16,10.78,10.84,10.78,10.82,1014271
8-Aug-16,10.72,10.79,10.72,10.77,1215759
5-Aug-16,10.66,10.71,10.66,10.70,149977
4-Aug-16,10.60,10.64,10.60,10.64,108207
3-Aug-16,10.49,10.57,10.49,10.57,123647
2-Aug-16,10.61,10.61,10.51,10.53,170457
1-Aug-16,10.61,10.65,10.58,10.58,100141
29-Jul-16,10.61,10.68,10.60,10.67,333505
28-Jul-16,10.61,10.63,10.56,10.60,149368
27-Jul-16,10.62,10.65,10.56,10.62,105354
26-Jul-16,10.53,10.56,10.52,10.56,53787
25-Jul-16,10.51,10.55,10.51,10.54,134909
22-Jul-16,10.44,10.49,10.44,10.49,191849
21-Jul-16,10.41,10.48,10.41,10.45,113823
20-Jul-16,10.36,10.46,10.36,10.45,177442
19-Jul-16,10.32,10.35,10.31,10.35,113967
18-Jul-16,10.30,10.39,10.30,10.38,184882
15-Jul-16,10.32,10.33,10.29,10.31,84822
14-Jul-16,10.35,10.36,10.33,10.34,106158
13-Jul-16,10.28,10.31,10.24,10.25,173267
12-Jul-16,10.20,10.28,10.20,10.25,182001
11-Jul-16,10.04,10.11,10.04,10.10,165507
8-Jul-16,9.92,9.99,9.92,9.96,156412
7-Jul-16,9.89,9.97,9.83,9.87,328659
6-Jul-16,9.80,9.87,9.73,9.85,113043
5-Jul-16,9.93,9.93,9.81,9.84,86390
1-Jul-16,10.08,10.19,10.08,10.14,193442
30-Jun-16,10.00,10.08,9.98,10.07,220545
29-Jun-16,9.89,9.96,9.87,9.96,68439
28-Jun-16,9.74,9.79,9.69,9.77,69736
27-Jun-16,9.64,9.65,9.47,9.52,135118
24-Jun-16,9.87,10.12,9.87,9.96,233827
23-Jun-16,10.65,10.74,10.63,10.74,111600
22-Jun-16,10.52,10.57,10.50,10.50,59671
21-Jun-16,10.46,10.52,10.44,10.47,109862
20-Jun-16,10.45,10.52,10.44,10.44,87824
17-Jun-16,10.18,10.26,10.18,10.24,826151
16-Jun-16,10.07,10.14,9.96,10.13,184139
15-Jun-16,10.21,10.23,10.18,10.18,63537
14-Jun-16,10.24,10.24,10.12,10.15,45339
13-Jun-16,10.34,10.41,10.30,10.31,81293
10-Jun-16,10.51,10.51,10.41,10.44,153678
9-Jun-16,10.64,10.67,10.62,10.67,51138
8-Jun-16,10.76,10.76,10.70,10.71,83833
7-Jun-16,10.66,10.71,10.66,10.69,115607
6-Jun-16,10.57,10.68,10.57,10.67,62989
3-Jun-16,10.51,10.60,10.51,10.60,57188
2-Jun-16,10.47,10.55,10.47,10.55,106077
1-Jun-16,10.48,10.56,10.46,10.55,60066
31-May-16,10.57,10.63,10.53,10.54,133852
27-May-16,10.51,10.58,10.51,10.56,115063
26-May-16,10.53,10.58,10.52,10.54,458354
25-May-16,10.46,10.56,10.42,10.53,631503
24-May-16,10.31,10.44,10.31,10.44,456444
23-May-16,10.28,10.32,10.27,10.29,87992
20-May-16,10.21,10.28,10.21,10.26,290465
19-May-16,10.24,10.26,10.16,10.22,676085
18-May-16,10.30,10.36,10.24,10.28,1155216
17-May-16,10.26,10.34,10.23,10.25,131150
16-May-16,10.18,10.29,10.18,10.26,83127
13-May-16,10.30,10.30,10.17,10.18,151017
12-May-16,10.40,10.40,10.26,10.32,119829
11-May-16,10.30,10.35,10.29,10.29,53297
10-May-16,10.23,10.32,10.23,10.32,256741
9-May-16,10.22,10.27,10.19,10.21,40791
6-May-16,10.15,10.25,10.15,10.24,177634
5-May-16,10.26,10.27,10.21,10.23,92305
4-May-16,10.27,10.30,10.22,10.24,193607
3-May-16,10.31,10.32,10.23,10.27,318792
2-May-16,10.40,10.47,10.40,10.45,54444
29-Apr-16,10.40,10.43,10.34,10.39,105063
28-Apr-16,10.47,10.53,10.42,10.42,62321
27-Apr-16,10.51,10.63,10.51,10.59,99108
26-Apr-16,10.53,10.60,10.53,10.57,111561
25-Apr-16,10.52,10.55,10.48,10.51,75675
22-Apr-16,10.50,10.58,10.50,10.55,55559
21-Apr-16,10.60,10.60,10.49,10.50,159784
20-Apr-16,10.55,10.62,10.55,10.59,134956
19-Apr-16,10.52,10.64,10.52,10.62,290543
18-Apr-16,10.35,10.48,10.35,10.47,212869
15-Apr-16,10.38,10.43,10.38,10.40,141652
14-Apr-16,10.42,10.42,10.36,10.40,143191
13-Apr-16,10.34,10.44,10.34,10.43,395411
12-Apr-16,10.17,10.28,10.15,10.26,117861
11-Apr-16,10.14,10.20,10.10,10.10,44063
8-Apr-16,10.12,10.15,10.06,10.07,98384
7-Apr-16,10.06,10.08,9.96,10.00,173642
6-Apr-16,10.10,10.19,10.08,10.18,66971
5-Apr-16,10.13,10.13,10.07,10.08,85630
4-Apr-16,10.38,10.38,10.26,10.27,1490964
1-Apr-16,10.25,10.36,10.21,10.35,81612
31-Mar-16,10.31,10.38,10.27,10.31,224534
30-Mar-16,10.29,10.35,10.27,10.30,158658
29-Mar-16,10.02,10.20,9.96,10.20,188219
28-Mar-16,10.09,10.10,10.01,10.06,164330
24-Mar-16,9.99,10.03,9.94,10.02,325596
23-Mar-16,10.23,10.23,10.05,10.06,88456
22-Mar-16,10.22,10.28,10.19,10.26,73701
21-Mar-16,10.18,10.26,10.18,10.25,87848
18-Mar-16,10.20,10.26,10.17,10.21,49078
17-Mar-16,10.14,10.30,10.14,10.27,222291
16-Mar-16,9.93,10.14,9.93,10.14,61786
15-Mar-16,10.01,10.01,9.93,9.99,124417
14-Mar-16,10.05,10.08,10.02,10.08,123065
11-Mar-16,9.95,10.04,9.95,10.02,60826
10-Mar-16,9.89,9.91,9.72,9.81,73295
9-Mar-16,9.86,9.89,9.82,9.82,55018
8-Mar-16,9.95,9.95,9.85,9.85,68823
7-Mar-16,9.89,10.03,9.88,10.00,65866
4-Mar-16,9.90,10.00,9.89,9.95,86833
3-Mar-16,9.74,9.86,9.74,9.85,87906
2-Mar-16,9.68,9.78,9.64,9.77,248353
1-Mar-16,9.58,9.72,9.58,9.70,122924
29-Feb-16,9.48,9.55,9.45,9.46,264391
26-Feb-16,9.48,9.52,9.43,9.50,1472247
25-Feb-16,9.43,9.45,9.35,9.44,128137
24-Feb-16,9.26,9.38,9.18,9.36,88750
23-Feb-16,9.47,9.47,9.35,9.36,121817
22-Feb-16,9.47,9.53,9.47,9.48,87297
19-Feb-16,9.38,9.43,9.35,9.40,93114
18-Feb-16,9.49,9.49,9.42,9.44,140452
17-Feb-16,9.31,9.46,9.31,9.43,201378
16-Feb-16,9.14,9.22,9.09,9.22,128802
12-Feb-16,8.84,8.99,8.82,8.98,273961
11-Feb-16,8.82,8.83,8.69,8.77,117237
10-Feb-16,9.04,9.09,8.95,8.96,574558
9-Feb-16,8.87,8.99,8.85,8.90,212688
8-Feb-16,9.27,9.27,8.98,9.06,1214905
5-Feb-16,9.51,9.51,9.41,9.43,649812
4-Feb-16,9.46,9.56,9.46,9.51,136306
3-Feb-16,9.46,9.50,9.27,9.47,324183
2-Feb-16,9.57,9.57,9.40,9.42,919240
1-Feb-16,9.57,9.69,9.53,9.67,270756
29-Jan-16,9.50,9.62,9.50,9.62,136267
28-Jan-16,9.50,9.53,9.39,9.47,68131
27-Jan-16,9.48,9.57,9.37,9.42,57683
26-Jan-16,9.36,9.52,9.36,9.50,198851
25-Jan-16,9.47,9.49,9.32,9.34,381666
22-Jan-16,9.40,9.51,9.40,9.48,376043
21-Jan-16,9.10,9.33,9.08,9.22,133254
20-Jan-16,9.13,9.22,8.91,9.16,598985
19-Jan-16,9.43,9.43,9.22,9.30,429275
15-Jan-16,9.35,9.38,9.22,9.35,259205
14-Jan-16,9.54,9.67,9.38,9.61,325299
13-Jan-16,9.75,9.76,9.48,9.52,219935
12-Jan-16,9.78,9.81,9.62,9.72,504986
11-Jan-16,9.85,9.88,9.64,9.71,155402
8-Jan-16,10.00,10.00,9.77,9.77,252680
7-Jan-16,10.00,10.05,9.88,9.91,211312
6-Jan-16,10.19,10.24,10.16,10.20,700134
5-Jan-16,10.36,10.39,10.28,10.33,452909
4-Jan-16,10.31,10.41,10.23,10.41,87428
31-Dec-15,10.55,10.63,10.48,10.52,475440
30-Dec-15,10.60,10.64,10.55,10.56,430129
29-Dec-15,10.66,10.72,10.61,10.66,197420
28-Dec-15,10.68,10.70,10.57,10.62,250872
24-Dec-15,10.68,10.73,10.67,10.72,94686
23-Dec-15,10.53,10.68,10.51,10.68,393400
22-Dec-15,10.44,10.50,10.40,10.47,340506
21-Dec-15,10.41,10.50,10.36,10.43,348926
18-Dec-15,10.43,10.46,10.34,10.34,452372
17-Dec-15,10.55,10.57,10.48,10.50,255807
16-Dec-15,10.48,10.58,10.43,10.57,158559
15-Dec-15,10.29,10.45,10.29,10.40,359551
14-Dec-15,10.37,10.49,10.16,10.24,1054204
11-Dec-15,10.52,10.68,10.35,10.38,1236762
10-Dec-15,10.61,10.69,10.61,10.64,126347
9-Dec-15,10.68,10.81,10.59,10.64,114991
8-Dec-15,10.67,10.71,10.63,10.68,235951
7-Dec-15,10.87,10.87,10.76,10.81,144293
4-Dec-15,10.83,10.91,10.81,10.90,62331
3-Dec-15,10.95,11.00,10.82,10.87,2143019
2-Dec-15,10.99,11.01,10.88,10.94,217636
1-Dec-15,11.01,11.01,10.95,10.98,98099
30-Nov-15,10.95,10.97,10.90,10.96,77635
27-Nov-15,10.90,10.94,10.89,10.90,22811
25-Nov-15,10.89,10.92,10.87,10.90,111864
24-Nov-15,10.79,10.86,10.77,10.84,70078
23-Nov-15,10.86,10.92,10.84,10.86,122504
20-Nov-15,10.94,10.94,10.84,10.87,96563
19-Nov-15,10.88,10.93,10.86,10.88,103569
18-Nov-15,10.81,10.88,10.78,10.88,102483
17-Nov-15,10.88,10.88,10.75,10.77,93263
16-Nov-15,10.71,10.87,10.71,10.87,115219
13-Nov-15,10.74,10.79,10.67,10.68,108865
12-Nov-15,10.89,10.89,10.79,10.82,153762
11-Nov-15,10.99,11.02,10.93,10.93,210502
10-Nov-15,10.95,10.98,10.91,10.94,159491
9-Nov-15,11.05,11.05,10.93,10.97,76464
6-Nov-15,11.04,11.10,10.99,11.08,132037
5-Nov-15,11.10,11.13,11.06,11.08,81580
4-Nov-15,11.14,11.16,11.03,11.11,86325
3-Nov-15,11.04,11.19,11.04,11.14,190367
2-Nov-15,11.06,11.17,11.04,11.15,71485
30-Oct-15,11.01,11.05,10.97,10.98,116820
29-Oct-15,10.97,11.05,10.97,10.99,90259
28-Oct-15,10.99,11.10,10.95,11.03,61640
27-Oct-15,11.07,11.07,10.95,10.98,44486
26-Oct-15,11.13,11.17,11.08,11.09,105872
23-Oct-15,11.10,11.17,11.09,11.14,65334
22-Oct-15,10.93,11.07,10.93,11.00,93429
21-Oct-15,11.03,11.04,10.91,10.91,64946
20-Oct-15,11.00,11.04,10.96,11.00,132653
19-Oct-15,11.01,11.03,10.96,10.99,79924
16-Oct-15,11.05,11.10,11.02,11.05,84475
15-Oct-15,10.99,11.07,10.95,11.06,72170
14-Oct-15,10.96,11.00,10.90,10.91,127791
13-Oct-15,10.93,11.04,10.90,10.92,97638
12-Oct-15,11.10,11.10,11.00,11.05,61835
9-Oct-15,11.11,11.20,11.03,11.08,134722
8-Oct-15,11.01,11.14,11.01,11.13,134939
7-Oct-15,11.03,11.13,11.01,11.11,86989
6-Oct-15,10.91,10.99,10.91,10.94,74241
5-Oct-15,10.81,10.95,10.80,10.91,134022
2-Oct-15,10.54,10.75,10.50,10.75,230595
1-Oct-15,10.51,10.60,10.47,10.58,256844
30-Sep-15,10.44,10.50,10.38,10.50,76368
29-Sep-15,10.40,10.45,10.25,10.28,303825
28-Sep-15,10.61,10.63,10.38,10.42,265557
25-Sep-15,10.74,10.77,10.62,10.68,123528
24-Sep-15,10.62,10.68,10.54,10.65,142959
23-Sep-15,10.78,10.78,10.67,10.71,47297
22-Sep-15,10.78,10.80,10.72,10.79,120378
21-Sep-15,10.98,11.02,10.93,10.98,104124
18-Sep-15,11.01,11.03,10.89,10.89,54329
17-Sep-15,11.03,11.24,11.03,11.12,73764
16-Sep-15,11.05,11.07,10.98,11.07,196136
15-Sep-15,10.89,10.97,10.84,10.94,209232
14-Sep-15,10.95,10.98,10.87,10.92,78783
11-Sep-15,10.94,11.01,10.93,11.00,252729
10-Sep-15,11.02,11.09,11.01,11.04,269295
9-Sep-15,11.13,11.17,10.93,10.93,66457
8-Sep-15,11.00,11.08,10.94,11.08,55993
4-Sep-15,10.75,10.79,10.69,10.76,105669
3-Sep-15,10.87,11.00,10.85,10.90,649595
2-Sep-15,10.83,10.83,10.72,10.83,364524
1-Sep-15,10.72,10.80,10.66,10.68,97422
31-Aug-15,10.98,11.05,10.95,11.01,169671
28-Aug-15,11.03,11.09,10.99,11.08,265586
27-Aug-15,10.97,11.11,10.96,11.07,212341
26-Aug-15,10.84,10.85,10.64,10.84,119389
25-Aug-15,10.81,10.90,10.54,10.54,347654
24-Aug-15,10.31,10.73,9.01,10.40,881907
21-Aug-15,11.02,11.07,10.85,10.88,191496
20-Aug-15,11.27,11.29,11.08,11.08,967181
19-Aug-15,11.47,11.51,11.38,11.46,91902
18-Aug-15,11.58,11.61,11.54,11.56,54096
17-Aug-15,11.59,11.63,11.56,11.61,60215
14-Aug-15,11.62,11.70,11.62,11.67,72039
13-Aug-15,11.58,11.66,11.57,11.62,96556
12-Aug-15,11.51,11.59,11.39,11.56,230576
11-Aug-15,11.63,11.66,11.59,11.64,67257
10-Aug-15,11.66,11.80,11.66,11.79,170418
7-Aug-15,11.56,11.61,11.53,11.60,92043
6-Aug-15,11.73,11.73,11.59,11.65,94931
5-Aug-15,11.76,11.81,11.69,11.71,56487
4-Aug-15,11.68,11.77,11.67,11.74,316173
3-Aug-15,11.72,11.76,11.65,11.68,526901
31-Jul-15,11.81,11.82,11.73,11.74,818431
30-Jul-15,11.67,11.71,11.64,11.70,51922
29-Jul-15,11.71,11.79,11.66,11.73,283612
28-Jul-15,11.63,11.71,11.58,11.67,69466
27-Jul-15,11.55,11.55,11.48,11.50,208603
24-Jul-15,11.74,11.74,11.61,11.63,272205
23-Jul-15,11.85,11.86,11.74,11.76,150639
22-Jul-15,11.83,11.84,11.79,11.80,83644
21-Jul-15,11.85,11.89,11.84,11.85,168163
20-Jul-15,11.88,11.89,11.84,11.84,88214
17-Jul-15,11.84,11.89,11.84,11.85,149122
16-Jul-15,11.82,11.88,11.81,11.85,181738
15-Jul-15,11.75,11.75,11.67,11.72,216811
14-Jul-15,11.67,11.75,11.67,11.74,185326
13-Jul-15,11.65,11.70,11.63,11.69,152526
10-Jul-15,11.46,11.59,11.45,11.59,272323
9-Jul-15,11.29,11.35,11.21,11.26,801957
8-Jul-15,11.13,11.23,11.01,11.02,832480
7-Jul-15,11.31,11.31,11.06,11.30,680619
6-Jul-15,11.36,11.44,11.31,11.36,394251
2-Jul-15,11.62,11.68,11.60,11.60,1653793
1-Jul-15,11.73,11.74,11.58,11.64,174420
30-Jun-15,11.67,11.72,11.57,11.59,174633
29-Jun-15,11.67,11.68,11.49,11.52,259791
26-Jun-15,11.85,11.90,11.82,11.87,575561
25-Jun-15,11.92,11.93,11.86,11.89,133932
24-Jun-15,11.92,11.92,11.85,11.86,91815
23-Jun-15,11.89,11.97,11.89,11.95,151594
22-Jun-15,11.91,11.95,11.86,11.90,236749
19-Jun-15,11.77,11.81,11.75,11.79,132536
18-Jun-15,12.22,12.30,12.19,12.21,358389
17-Jun-15,12.15,12.18,12.09,12.15,77341
16-Jun-15,12.14,12.18,12.08,12.13,282286
15-Jun-15,12.14,12.17,12.11,12.17,110783
12-Jun-15,12.21,12.27,12.21,12.26,78383
