Date,Dividends
2016-03-18,0.161000
2015-12-18,0.240000
2015-09-18,0.272000
2015-06-19,0.477000
2015-03-20,0.162000
2014-12-19,0.333000
2014-09-19,0.295000
2014-06-20,0.538000
2014-03-21,0.258000
2013-12-20,0.860000
2013-09-20,0.280000
2013-06-21,0.557000
2013-03-15,0.172000
2012-12-21,1.604000
2012-09-21,0.354000
2012-06-15,0.527000
2012-03-16,0.236000
2011-12-16,0.436000
2011-09-16,0.313000
2011-06-17,0.415000
2011-03-18,0.187000
2010-12-17,2.615000
2010-09-17,0.323000
2010-06-18,0.289000
2010-03-19,0.157000
2009-12-18,0.538000
2009-09-18,0.390000
2009-06-19,0.330000
2009-03-20,0.419000
2008-12-29,0.054000
2008-12-19,0.198000
2008-09-19,0.461000
2008-06-20,0.588000
2008-03-20,0.284000
2007-12-21,0.464000
2007-09-21,0.565000
2007-06-15,0.545000
2007-03-16,0.227000
