Date,Open,High,Low,Close,Volume
10-Jun-16,42.51,42.54,42.03,42.15,375061
9-Jun-16,42.91,42.98,42.80,42.96,828599
8-Jun-16,43.12,43.14,43.01,43.11,722581
7-Jun-16,42.79,42.99,42.79,42.91,223804
6-Jun-16,42.56,42.78,42.56,42.70,337960
3-Jun-16,42.07,42.48,42.07,42.42,477288
2-Jun-16,41.49,41.75,41.49,41.74,528710
1-Jun-16,41.63,41.80,41.55,41.78,1505610
31-May-16,42.13,42.13,41.64,41.72,719309
27-May-16,41.99,42.15,41.99,42.05,233408
26-May-16,42.17,42.20,42.02,42.10,408018
25-May-16,41.85,42.26,41.85,42.10,396542
24-May-16,41.75,42.04,41.67,41.97,390159
23-May-16,41.35,41.57,41.35,41.45,394187
20-May-16,41.56,41.62,41.45,41.46,614109
19-May-16,41.27,41.33,41.08,41.28,242886
18-May-16,41.83,42.10,41.56,41.72,407187
17-May-16,42.23,42.23,41.79,41.89,356070
16-May-16,41.63,42.00,41.46,41.96,482654
13-May-16,41.59,41.68,41.36,41.45,1052332
12-May-16,42.15,42.15,41.72,41.87,374329
11-May-16,42.21,42.32,42.10,42.13,308625
10-May-16,42.36,42.64,42.36,42.62,441261
9-May-16,42.23,42.34,42.05,42.11,712581
6-May-16,41.76,42.08,41.76,42.08,734367
5-May-16,42.15,42.15,41.90,42.01,518283
4-May-16,41.96,42.08,41.90,42.02,748442
3-May-16,42.48,42.58,42.20,42.26,716644
2-May-16,42.63,42.83,42.54,42.73,1208073
29-Apr-16,42.40,42.45,42.14,42.36,1336268
28-Apr-16,42.36,42.64,42.23,42.35,662147
27-Apr-16,42.49,42.68,42.40,42.62,294211
26-Apr-16,42.69,42.85,42.67,42.69,418979
25-Apr-16,42.33,42.39,42.20,42.36,393275
22-Apr-16,42.05,42.14,41.84,41.98,514437
21-Apr-16,42.20,42.22,41.90,42.01,790163
20-Apr-16,42.44,42.60,42.35,42.49,1598258
19-Apr-16,42.46,42.52,42.30,42.38,616202
18-Apr-16,41.88,42.19,41.80,42.13,753347
15-Apr-16,41.90,41.93,41.82,41.84,235253
14-Apr-16,42.11,42.11,41.93,41.94,343011
13-Apr-16,42.03,42.25,41.96,42.17,474536
12-Apr-16,41.64,41.90,41.43,41.80,573969
11-Apr-16,41.62,41.81,41.47,41.47,510119
8-Apr-16,41.43,41.49,41.22,41.30,339224
7-Apr-16,40.89,40.95,40.59,40.77,1119550
6-Apr-16,40.79,41.12,40.76,41.12,1873630
5-Apr-16,40.69,40.78,40.57,40.72,543448
4-Apr-16,41.32,41.32,40.95,40.97,678041
1-Apr-16,40.71,41.12,40.62,41.09,633714
31-Mar-16,41.50,41.63,41.41,41.46,422099
30-Mar-16,41.60,41.82,41.48,41.61,361830
29-Mar-16,40.64,41.36,40.56,41.27,581098
28-Mar-16,40.61,40.72,40.53,40.66,366733
24-Mar-16,40.47,40.55,40.29,40.53,322542
23-Mar-16,40.94,40.98,40.74,40.80,489882
22-Mar-16,41.06,41.25,41.00,41.24,738262
21-Mar-16,41.27,41.40,41.02,41.27,360665
18-Mar-16,41.41,41.49,41.28,41.32,491292
17-Mar-16,41.19,41.69,41.10,41.55,791722
16-Mar-16,40.12,40.91,40.10,40.84,480354
15-Mar-16,40.14,40.34,40.08,40.33,735489
14-Mar-16,40.39,40.53,40.28,40.45,302397
11-Mar-16,40.26,40.54,40.19,40.53,795008
10-Mar-16,39.73,39.96,39.31,39.56,245179
9-Mar-16,39.60,39.74,39.46,39.49,1013014
8-Mar-16,39.46,39.58,39.32,39.48,604920
7-Mar-16,39.37,39.69,39.22,39.60,528551
4-Mar-16,39.72,39.98,39.70,39.83,392746
3-Mar-16,39.53,39.77,39.44,39.71,546648
2-Mar-16,39.18,39.56,39.11,39.53,1172536
1-Mar-16,38.91,39.33,38.83,39.30,555832
29-Feb-16,38.51,38.65,38.37,38.37,306915
26-Feb-16,38.78,38.88,38.37,38.41,278944
25-Feb-16,38.49,38.69,38.36,38.66,327336
24-Feb-16,37.86,38.38,37.66,38.34,522511
23-Feb-16,38.36,38.42,38.08,38.13,453150
22-Feb-16,38.57,38.79,38.56,38.78,1058137
19-Feb-16,38.12,38.44,38.04,38.38,228457
18-Feb-16,38.23,38.37,38.00,38.08,290109
17-Feb-16,37.90,38.33,37.90,38.23,510307
16-Feb-16,37.75,37.89,37.43,37.75,480667
12-Feb-16,36.37,37.03,36.27,37.00,494019
11-Feb-16,36.46,36.64,36.16,36.45,373764
10-Feb-16,37.00,37.15,36.74,36.76,385708
9-Feb-16,36.36,36.84,36.32,36.75,2774142
8-Feb-16,37.08,37.21,36.64,36.90,517474
5-Feb-16,37.95,38.05,37.39,37.46,903414
4-Feb-16,38.02,38.30,37.96,38.11,463882
3-Feb-16,37.96,38.08,37.37,38.02,1459556
2-Feb-16,37.73,37.73,37.22,37.34,653962
1-Feb-16,37.95,38.29,37.86,38.15,649234
29-Jan-16,37.53,37.90,37.53,37.88,596720
28-Jan-16,36.93,37.03,36.70,36.83,955687
27-Jan-16,36.81,37.01,36.44,36.57,498519
26-Jan-16,36.48,36.85,36.36,36.83,440469
25-Jan-16,36.40,36.54,36.20,36.22,641766
22-Jan-16,36.28,36.59,36.22,36.53,1274792
21-Jan-16,35.35,35.92,35.18,35.71,1912594
20-Jan-16,35.80,35.95,34.55,35.55,5393263
19-Jan-16,36.62,36.72,36.06,36.35,782830
15-Jan-16,36.22,36.41,35.94,36.15,788724
14-Jan-16,37.17,37.47,36.88,37.27,528694
13-Jan-16,37.54,37.72,36.84,36.94,3128400
12-Jan-16,37.40,37.53,37.09,37.35,458068
11-Jan-16,37.37,37.49,36.89,37.19,490610
8-Jan-16,37.60,37.62,36.98,37.05,670309
7-Jan-16,37.75,38.00,37.56,37.56,514794
6-Jan-16,38.24,38.48,38.23,38.44,1491240
5-Jan-16,38.74,38.87,38.59,38.83,360737
4-Jan-16,38.50,38.77,38.29,38.77,1013386
31-Dec-15,39.22,39.40,39.05,39.12,821932
30-Dec-15,39.59,39.69,39.49,39.50,777980
29-Dec-15,39.84,39.87,39.62,39.78,769792
28-Dec-15,39.34,39.51,39.22,39.37,1246262
24-Dec-15,39.46,39.74,39.42,39.63,283328
23-Dec-15,39.37,39.60,39.31,39.57,903298
22-Dec-15,39.14,39.25,38.99,39.18,760366
21-Dec-15,39.26,39.28,38.83,38.99,643443
18-Dec-15,39.08,39.16,38.85,38.85,1085777
17-Dec-15,39.65,39.65,39.16,39.20,954659
16-Dec-15,39.44,39.86,39.32,39.78,855236
15-Dec-15,39.00,39.12,38.88,38.97,836397
14-Dec-15,38.96,39.00,38.50,38.84,775792
11-Dec-15,38.79,38.90,38.54,38.65,662216
10-Dec-15,39.48,39.56,39.28,39.31,429188
9-Dec-15,39.60,39.88,39.31,39.44,1102372
8-Dec-15,39.59,39.77,39.54,39.55,742047
7-Dec-15,40.16,40.27,39.85,39.96,391273
4-Dec-15,39.85,40.32,39.81,40.31,609329
3-Dec-15,40.41,40.41,39.86,39.97,864729
2-Dec-15,40.54,40.60,40.16,40.24,771864
1-Dec-15,40.57,40.82,40.51,40.82,450764
30-Nov-15,40.01,40.16,39.86,40.07,748367
27-Nov-15,40.03,40.11,39.99,40.05,70503
25-Nov-15,40.31,40.34,40.14,40.24,306978
24-Nov-15,39.89,40.32,39.89,40.23,422291
23-Nov-15,40.55,40.61,40.22,40.26,735471
20-Nov-15,40.76,40.87,40.67,40.69,280237
19-Nov-15,40.52,40.70,40.46,40.51,739369
18-Nov-15,40.01,40.30,39.89,40.28,316026
17-Nov-15,40.00,40.13,39.89,39.99,450753
16-Nov-15,39.39,39.81,39.33,39.80,316335
13-Nov-15,39.42,39.49,39.24,39.28,354028
12-Nov-15,39.65,39.70,39.46,39.47,232944
11-Nov-15,39.86,39.94,39.76,39.79,274952
10-Nov-15,39.12,39.52,39.11,39.47,2101678
9-Nov-15,39.81,39.84,39.31,39.47,527284
6-Nov-15,40.53,40.62,40.31,40.48,669064
5-Nov-15,40.95,41.05,40.88,40.99,604688
4-Nov-15,41.19,41.25,40.82,40.92,886164
3-Nov-15,41.29,41.57,41.16,41.52,460075
2-Nov-15,41.48,41.76,41.41,41.69,762170
30-Oct-15,41.54,41.68,41.43,41.46,596951
29-Oct-15,41.41,41.60,41.40,41.55,606628
28-Oct-15,41.90,42.08,41.52,41.82,554385
27-Oct-15,41.85,41.92,41.73,41.82,486671
26-Oct-15,41.99,42.08,41.85,41.86,439592
23-Oct-15,42.01,42.11,41.90,42.02,444930
22-Oct-15,41.52,41.94,41.52,41.92,1412170
21-Oct-15,41.47,41.56,41.17,41.18,441918
20-Oct-15,41.32,41.49,41.31,41.39,252593
19-Oct-15,41.27,41.44,41.26,41.44,237638
16-Oct-15,41.31,41.44,41.22,41.40,357087
15-Oct-15,40.98,41.29,40.92,41.27,353907
14-Oct-15,40.60,40.83,40.56,40.74,370662
13-Oct-15,40.37,40.63,40.31,40.36,414995
12-Oct-15,40.80,40.91,40.76,40.76,163167
9-Oct-15,40.98,41.07,40.72,40.84,2508203
8-Oct-15,40.48,41.02,40.40,41.01,595034
7-Oct-15,40.69,40.78,40.39,40.62,716116
6-Oct-15,40.56,40.71,40.49,40.62,721887
5-Oct-15,40.44,40.78,40.44,40.75,1690334
2-Oct-15,39.17,39.90,39.07,39.86,721450
1-Oct-15,39.65,39.78,39.11,39.40,632848
30-Sep-15,39.19,39.40,39.00,39.34,568318
29-Sep-15,38.61,38.80,38.50,38.68,717639
28-Sep-15,38.95,39.22,38.53,38.55,367920
25-Sep-15,39.32,39.48,39.05,39.15,670680
24-Sep-15,38.34,38.70,38.25,38.62,426654
23-Sep-15,38.45,38.52,38.20,38.25,304133
22-Sep-15,38.38,38.48,38.22,38.38,1167322
21-Sep-15,38.98,39.16,38.81,38.96,283501
18-Sep-15,38.98,39.20,38.78,38.79,741869
17-Sep-15,39.19,39.87,39.14,39.37,379563
16-Sep-15,39.09,39.39,39.02,39.33,352880
15-Sep-15,38.81,39.08,38.74,39.05,463594
14-Sep-15,38.95,39.00,38.84,38.90,295553
11-Sep-15,38.80,39.01,38.72,39.01,226992
10-Sep-15,38.65,39.08,38.65,38.93,420368
9-Sep-15,39.34,39.40,38.55,38.55,967214
8-Sep-15,38.98,39.17,38.87,39.09,858104
4-Sep-15,38.37,38.49,38.03,38.13,385625
3-Sep-15,38.97,39.26,38.92,38.98,746934
2-Sep-15,38.97,39.10,38.67,39.10,410543
1-Sep-15,38.67,38.81,38.28,38.41,757007
31-Aug-15,39.71,39.73,39.40,39.45,581744
28-Aug-15,39.86,39.99,39.73,39.93,554142
27-Aug-15,39.92,40.40,39.83,40.34,904175
26-Aug-15,39.46,39.58,38.72,39.55,716418
25-Aug-15,39.27,40.17,38.77,38.77,1222993
24-Aug-15,38.22,39.37,37.48,38.62,1316618
21-Aug-15,41.13,41.18,40.30,40.33,865663
20-Aug-15,41.55,41.67,41.18,41.18,1047604
19-Aug-15,41.98,42.15,41.67,41.91,314362
18-Aug-15,42.17,42.24,42.06,42.11,273636
17-Aug-15,42.05,42.33,41.99,42.33,289687
14-Aug-15,42.22,42.39,42.18,42.34,292373
13-Aug-15,41.95,42.24,41.83,42.08,188427
12-Aug-15,41.86,42.04,41.62,42.01,555093
11-Aug-15,42.18,42.24,41.86,42.12,1445122
10-Aug-15,42.50,42.79,42.37,42.73,809210
7-Aug-15,42.26,42.41,42.15,42.40,214302
6-Aug-15,42.39,42.48,42.17,42.44,1539080
5-Aug-15,42.57,42.69,42.48,42.49,381676
4-Aug-15,42.29,42.50,42.21,42.28,458840
3-Aug-15,42.24,42.35,41.94,42.11,448083
31-Jul-15,42.49,42.56,42.20,42.29,326454
30-Jul-15,42.09,42.17,41.90,42.16,271186
29-Jul-15,42.05,42.50,42.05,42.27,148941
28-Jul-15,42.02,42.29,41.86,42.27,308912
27-Jul-15,41.88,41.94,41.65,41.75,289853
24-Jul-15,42.12,42.22,41.80,41.87,507651
23-Jul-15,42.25,42.36,41.95,41.98,290300
22-Jul-15,42.46,42.60,42.37,42.45,1433174
21-Jul-15,42.59,42.73,42.50,42.56,867159
20-Jul-15,42.83,42.85,42.69,42.73,201442
17-Jul-15,42.83,42.91,42.74,42.81,221849
16-Jul-15,42.78,42.90,42.72,42.79,247911
15-Jul-15,42.44,42.50,42.26,42.37,232772
14-Jul-15,42.23,42.51,42.20,42.49,311779
13-Jul-15,42.01,42.25,42.00,42.17,367376
10-Jul-15,41.48,41.73,41.43,41.69,1523052
9-Jul-15,41.16,41.23,40.76,40.87,537242
8-Jul-15,41.01,41.04,40.45,40.48,1060766
7-Jul-15,41.25,41.58,40.85,41.58,604811
6-Jul-15,41.37,41.69,41.32,41.50,763884
2-Jul-15,41.82,41.98,41.81,41.91,345254
1-Jul-15,42.13,42.20,41.87,42.00,582412
30-Jun-15,42.13,42.16,41.64,41.86,904090
29-Jun-15,42.10,42.24,41.66,41.73,275518
26-Jun-15,42.63,42.77,42.48,42.76,223155
25-Jun-15,42.81,42.87,42.66,42.75,378686
24-Jun-15,42.84,42.99,42.72,42.72,228480
23-Jun-15,42.99,43.12,42.84,43.05,331806
22-Jun-15,43.10,43.15,42.87,42.89,767081
19-Jun-15,42.52,42.64,42.43,42.46,184770
18-Jun-15,42.87,43.29,42.84,43.09,318550
17-Jun-15,42.72,42.89,42.38,42.85,464901
16-Jun-15,42.90,43.02,42.81,42.98,498700
15-Jun-15,42.75,42.97,42.67,42.97,378640
12-Jun-15,42.87,43.04,42.78,43.00,404066
11-Jun-15,43.15,43.33,43.00,43.21,411584
10-Jun-15,42.86,43.15,42.82,43.10,283235
9-Jun-15,42.23,42.43,42.08,42.33,431733
8-Jun-15,42.24,42.27,42.05,42.11,613656
5-Jun-15,42.28,42.43,42.10,42.28,596095
4-Jun-15,42.99,43.17,42.74,42.91,368343
3-Jun-15,43.46,43.51,43.21,43.31,363705
2-Jun-15,43.42,43.67,43.39,43.51,269350
1-Jun-15,43.68,43.76,43.40,43.56,489042
29-May-15,43.69,43.90,43.39,43.48,455102
28-May-15,43.80,43.97,43.62,43.93,234452
27-May-15,44.14,44.27,44.03,44.20,490728
26-May-15,44.46,44.46,44.01,44.09,377453
22-May-15,44.77,44.82,44.64,44.71,147295
21-May-15,44.87,44.99,44.76,44.96,238121
20-May-15,44.97,45.17,44.88,44.95,665217
19-May-15,44.95,45.07,44.88,44.97,343978
18-May-15,45.08,45.16,44.90,45.01,250170
15-May-15,45.13,45.40,45.06,45.39,644911
14-May-15,44.98,45.00,44.85,45.00,227553
13-May-15,44.61,44.78,44.50,44.57,276592
12-May-15,44.08,44.15,43.82,44.08,325493
11-May-15,44.34,44.44,44.14,44.16,478814
8-May-15,44.29,44.61,44.28,44.56,261996
7-May-15,43.44,43.53,43.24,43.52,436887
6-May-15,44.16,44.16,43.67,43.80,322623
5-May-15,44.67,44.70,44.09,44.10,657065
4-May-15,44.56,44.75,44.51,44.71,339729
1-May-15,44.37,44.49,44.17,44.44,424465
30-Apr-15,44.55,44.60,44.27,44.33,412621
29-Apr-15,44.81,44.96,44.59,44.74,274240
28-Apr-15,44.86,45.06,44.77,45.03,180196
27-Apr-15,45.00,45.10,44.86,44.90,243210
24-Apr-15,44.62,44.84,44.55,44.82,640767
23-Apr-15,44.18,44.64,44.16,44.55,339729
22-Apr-15,44.43,44.53,44.30,44.46,508165
21-Apr-15,44.43,44.44,44.28,44.34,460766
20-Apr-15,44.46,44.49,44.30,44.44,578991
17-Apr-15,44.60,44.71,44.36,44.47,314905
16-Apr-15,44.80,45.06,44.71,44.99,265490
15-Apr-15,44.65,44.93,44.61,44.85,741379
14-Apr-15,44.62,44.81,44.60,44.73,346150
13-Apr-15,44.55,44.64,44.25,44.33,645769
10-Apr-15,44.86,44.95,44.77,44.92,1409932
9-Apr-15,44.95,44.99,44.74,44.94,645448
8-Apr-15,44.71,44.91,44.62,44.81,483569
7-Apr-15,44.55,44.61,44.36,44.38,227064
6-Apr-15,44.23,44.64,44.22,44.31,354850
2-Apr-15,43.86,44.03,43.68,43.99,222355
1-Apr-15,43.63,43.69,43.33,43.64,469712
31-Mar-15,43.28,43.52,43.24,43.32,503034
30-Mar-15,43.75,43.90,43.66,43.80,482364
27-Mar-15,43.84,44.07,43.84,44.00,467737
26-Mar-15,44.01,44.01,43.60,43.75,280423
25-Mar-15,44.69,44.69,44.12,44.17,259735
24-Mar-15,44.52,44.52,44.34,44.42,270937
23-Mar-15,44.16,44.25,43.92,44.11,387468
20-Mar-15,43.77,44.16,43.58,44.05,450599
19-Mar-15,43.45,43.50,43.23,43.36,303799
18-Mar-15,42.60,43.54,42.50,43.47,456740
17-Mar-15,42.50,42.66,42.42,42.65,319107
16-Mar-15,42.72,43.02,42.72,42.93,346756
13-Mar-15,42.60,42.69,42.38,42.53,635721
12-Mar-15,42.61,42.72,42.49,42.64,457412
11-Mar-15,42.28,42.36,42.12,42.18,480428
10-Mar-15,42.32,42.47,42.06,42.06,408987
9-Mar-15,42.84,42.90,42.74,42.79,360644
6-Mar-15,43.64,43.80,43.25,43.35,564166
5-Mar-15,44.26,44.34,44.09,44.17,840444
4-Mar-15,44.23,44.38,44.01,44.19,468774
3-Mar-15,44.80,44.84,44.44,44.53,553617
2-Mar-15,44.61,44.77,44.49,44.76,625934
27-Feb-15,44.42,44.53,44.32,44.38,580223
26-Feb-15,44.61,44.74,44.43,44.51,875070
25-Feb-15,44.55,44.72,44.55,44.66,366407
