Date,Open,High,Low,Close,Volume
10-Jun-16,16.47,16.53,16.36,16.49,11215081
9-Jun-16,16.24,16.48,16.22,16.47,12579778
8-Jun-16,16.16,16.26,16.10,16.21,14512870
7-Jun-16,15.57,15.66,15.54,15.60,4896852
6-Jun-16,15.63,15.68,15.56,15.68,5736261
3-Jun-16,15.59,15.64,15.51,15.61,9059251
2-Jun-16,15.21,15.25,15.17,15.22,4223588
1-Jun-16,15.19,15.25,15.04,15.17,7146485
31-May-16,15.26,15.31,15.17,15.19,7432172
27-May-16,15.50,15.50,15.34,15.39,5915170
26-May-16,15.71,15.73,15.49,15.53,5483350
25-May-16,15.48,15.56,15.44,15.50,7975426
24-May-16,15.51,15.64,15.40,15.42,7921105
23-May-16,15.52,15.65,15.51,15.59,6033663
20-May-16,15.82,15.82,15.61,15.69,5958114
19-May-16,15.57,15.72,15.53,15.67,16861030
18-May-16,16.16,16.32,15.90,16.00,13513697
17-May-16,16.31,16.50,16.29,16.41,5973761
16-May-16,16.48,16.55,16.26,16.32,6549238
13-May-16,16.16,16.29,16.08,16.28,6138725
12-May-16,16.54,16.57,16.17,16.22,9721322
11-May-16,16.59,16.66,16.43,16.56,9102917
10-May-16,16.25,16.32,16.17,16.28,6267244
9-May-16,16.25,16.28,16.10,16.12,10529392
6-May-16,16.53,16.74,16.49,16.63,9186526
5-May-16,16.73,16.74,16.40,16.51,7556708
4-May-16,16.53,16.61,16.39,16.49,8300448
3-May-16,16.75,16.75,16.48,16.57,9738750
2-May-16,16.94,16.95,16.63,16.64,12861225
29-Apr-16,16.96,17.09,16.87,16.98,15159934
28-Apr-16,16.51,16.80,16.46,16.77,12995404
27-Apr-16,16.37,16.48,16.22,16.38,17166166
26-Apr-16,16.23,16.32,16.16,16.29,7719733
25-Apr-16,16.20,16.29,16.10,16.17,9321893
22-Apr-16,16.36,16.51,16.02,16.14,14510862
21-Apr-16,16.43,16.44,15.92,16.21,18773068
20-Apr-16,16.24,16.36,16.13,16.14,16114284
19-Apr-16,16.16,16.20,16.04,16.12,18807444
18-Apr-16,15.47,15.53,15.41,15.42,5340884
15-Apr-16,15.40,15.58,15.32,15.46,9664300
14-Apr-16,15.40,15.46,15.30,15.34,7388272
13-Apr-16,15.48,15.53,15.29,15.44,10519338
12-Apr-16,15.28,15.43,15.20,15.41,11958948
11-Apr-16,14.93,15.20,14.93,15.14,13107850
8-Apr-16,14.51,14.65,14.49,14.62,7946116
7-Apr-16,14.56,14.62,14.42,14.48,8559322
6-Apr-16,14.31,14.46,14.27,14.34,4686299
5-Apr-16,14.41,14.44,14.35,14.42,7580483
4-Apr-16,14.33,14.36,14.20,14.20,5473614
1-Apr-16,14.24,14.38,14.08,14.34,13934441
31-Mar-16,14.70,14.74,14.61,14.68,5863863
30-Mar-16,14.60,14.69,14.45,14.49,7857158
29-Mar-16,14.53,14.62,14.38,14.60,7676834
28-Mar-16,14.58,14.63,14.43,14.46,3424495
24-Mar-16,14.57,14.60,14.43,14.43,5418407
23-Mar-16,14.65,14.66,14.50,14.51,14387481
22-Mar-16,15.08,15.20,15.01,15.12,5021849
21-Mar-16,15.05,15.12,14.99,15.06,5280916
18-Mar-16,15.09,15.15,14.98,15.03,8930371
17-Mar-16,15.11,15.28,15.00,15.16,20659832
16-Mar-16,14.51,14.91,14.47,14.87,10276717
