Date,Dividends
2016-03-15,0.305000
2015-12-23,0.626000
2015-09-25,0.959000
2015-03-25,0.052000
2014-12-22,1.664000
2014-03-25,0.009000
2013-12-24,1.422000
2013-03-20,0.017000
2012-12-24,1.485000
2012-03-22,0.019000
2011-12-23,0.940000
2011-03-23,0.006000
2010-12-27,0.837000
2010-03-23,0.009000
2009-12-24,0.637000
2009-03-23,0.021000
2008-12-24,0.894000
2008-03-12,0.024000
2007-12-20,0.942000
2007-03-22,0.014000
2006-12-22,0.825000
2006-03-20,0.010000
2005-12-27,0.678000
2005-03-21,0.005000
2004-12-27,0.621000
