Date,Open,High,Low,Close,Volume
10-Jun-16,117.13,117.13,115.94,116.27,768470
9-Jun-16,118.32,118.69,117.77,118.17,549556
8-Jun-16,118.19,118.85,118.12,118.73,418905
7-Jun-16,117.82,118.44,117.45,118.04,595893
6-Jun-16,116.74,117.90,116.68,117.71,467724
3-Jun-16,116.99,116.99,115.72,116.54,390588
2-Jun-16,115.99,117.09,115.87,117.07,1553399
1-Jun-16,115.19,116.33,114.95,116.29,496316
31-May-16,115.62,116.01,115.18,115.60,589980
27-May-16,114.35,115.41,114.25,115.41,772555
26-May-16,114.72,114.94,114.18,114.39,234642
25-May-16,113.97,114.67,113.85,114.52,390484
24-May-16,112.42,113.93,112.42,113.74,389043
23-May-16,112.05,112.37,111.69,111.82,289788
20-May-16,110.90,112.02,110.71,111.95,336661
19-May-16,110.32,111.21,109.50,110.47,2217987
18-May-16,110.74,112.03,110.32,111.06,449094
17-May-16,112.17,112.72,110.63,111.14,1749379
16-May-16,111.46,112.70,111.22,112.33,267084
13-May-16,111.72,112.25,110.73,111.09,457532
12-May-16,112.89,113.03,111.22,111.90,462366
11-May-16,113.48,113.57,112.36,112.43,312142
10-May-16,112.96,113.63,112.47,113.56,364947
9-May-16,112.22,112.89,111.84,112.38,334629
6-May-16,111.35,112.30,111.12,112.22,1005606
5-May-16,112.54,112.61,111.45,111.67,450584
4-May-16,112.08,112.98,111.53,111.95,457907
3-May-16,113.62,113.62,111.91,112.58,930683
2-May-16,113.81,114.40,113.16,114.32,325934
29-Apr-16,113.89,114.15,112.63,113.46,661806
28-Apr-16,115.01,115.59,113.96,114.21,335367
27-Apr-16,114.97,115.68,114.63,115.50,330097
26-Apr-16,114.12,114.91,113.83,114.86,440098
25-Apr-16,114.29,114.29,113.38,113.85,355057
22-Apr-16,113.49,114.58,113.49,114.46,1063344
21-Apr-16,114.24,114.45,113.18,113.39,352170
20-Apr-16,114.04,114.78,113.61,114.20,450935
19-Apr-16,114.08,114.68,113.60,114.13,341351
18-Apr-16,112.62,113.80,112.43,113.67,342544
15-Apr-16,112.47,113.20,112.44,113.11,782103
14-Apr-16,112.96,113.11,112.51,112.80,308437
13-Apr-16,111.64,113.03,111.48,113.02,672359
12-Apr-16,109.88,111.14,109.51,110.92,359619
11-Apr-16,110.67,111.39,109.82,109.83,350095
8-Apr-16,110.35,110.86,109.71,110.07,294337
7-Apr-16,110.17,110.55,108.91,109.45,257010
6-Apr-16,109.70,110.89,109.41,110.86,345342
5-Apr-16,110.06,110.43,109.56,109.63,340438
4-Apr-16,111.60,111.90,110.79,110.91,439120
1-Apr-16,110.77,111.89,110.15,111.75,391544
31-Mar-16,111.24,111.80,111.12,111.49,434689
30-Mar-16,111.67,111.90,110.92,111.19,658597
29-Mar-16,108.50,111.10,108.22,111.10,313123
28-Mar-16,108.91,109.08,108.02,108.77,332985
24-Mar-16,107.81,108.61,107.22,108.58,718977
23-Mar-16,109.83,109.90,108.35,108.41,421324
22-Mar-16,109.74,110.56,109.37,110.22,466514
21-Mar-16,110.20,110.59,109.84,110.17,655198
18-Mar-16,109.78,110.60,109.58,110.36,553867
17-Mar-16,107.97,109.92,107.66,109.60,431967
16-Mar-16,106.70,108.30,106.70,108.13,451129
15-Mar-16,107.68,107.88,106.80,107.09,299657
14-Mar-16,108.54,108.92,108.09,108.60,655953
11-Mar-16,107.70,109.02,107.61,108.96,422745
10-Mar-16,107.71,107.94,105.68,106.77,472845
9-Mar-16,107.09,107.47,106.52,107.27,295561
8-Mar-16,108.62,108.64,106.65,106.75,568203
7-Mar-16,107.81,109.30,107.69,109.16,1466772
4-Mar-16,107.73,108.86,107.36,108.28,1363715
3-Mar-16,106.41,107.62,106.29,107.60,672370
2-Mar-16,105.15,106.39,104.95,106.39,502611
1-Mar-16,103.90,105.26,103.48,105.23,304595
29-Feb-16,103.49,104.25,103.08,103.08,302508
26-Feb-16,103.43,103.77,103.00,103.48,975812
25-Feb-16,101.95,102.79,101.57,102.76,290958
24-Feb-16,99.97,101.94,99.28,101.72,1043963
23-Feb-16,101.52,101.83,100.83,100.88,1041874
22-Feb-16,101.44,102.08,101.38,101.73,912802
19-Feb-16,99.85,100.47,99.18,100.44,410952
18-Feb-16,100.70,100.81,99.84,100.26,491647
17-Feb-16,99.54,101.08,99.48,100.61,599664
16-Feb-16,97.71,98.92,97.17,98.85,610196
12-Feb-16,95.76,96.76,95.24,96.65,799717
11-Feb-16,94.55,95.49,93.91,94.84,853287
10-Feb-16,96.62,97.95,96.02,96.04,822389
9-Feb-16,95.12,97.07,95.07,95.99,803103
8-Feb-16,97.66,97.66,95.18,96.56,1063538
5-Feb-16,100.59,100.59,98.51,98.63,650007
4-Feb-16,100.12,102.08,100.02,101.22,876822
3-Feb-16,100.72,100.72,98.09,100.42,645743
2-Feb-16,101.23,101.30,99.56,99.93,806243
1-Feb-16,101.68,102.69,100.98,102.20,509221
29-Jan-16,99.64,102.29,99.64,102.29,620069
28-Jan-16,100.20,100.56,98.77,99.13,449654
27-Jan-16,100.04,101.03,98.72,99.27,969717
26-Jan-16,98.72,100.54,98.53,100.48,1114194
25-Jan-16,99.93,100.15,98.15,98.34,689232
22-Jan-16,99.69,100.69,99.38,100.47,949622
21-Jan-16,98.07,99.74,97.45,98.01,944989
20-Jan-16,96.96,99.00,94.25,97.99,1379446
19-Jan-16,100.19,100.26,97.25,98.18,775578
15-Jan-16,98.49,99.36,97.08,99.22,1722960
14-Jan-16,100.12,101.60,98.42,100.87,1301536
13-Jan-16,102.95,103.43,99.11,99.69,1458305
12-Jan-16,103.26,103.83,101.11,102.76,1681538
11-Jan-16,103.29,103.69,101.41,102.47,1331311
8-Jan-16,104.77,105.25,102.79,102.97,999544
7-Jan-16,105.75,106.20,104.32,104.42,1182809
6-Jan-16,107.57,108.16,106.70,107.31,1288536
5-Jan-16,109.29,109.29,108.41,108.94,675805
4-Jan-16,109.00,109.06,107.73,108.88,649456
31-Dec-15,111.42,111.82,110.64,110.64,813289
30-Dec-15,112.58,112.83,111.69,111.71,1266444
29-Dec-15,112.19,112.74,111.71,112.66,800383
28-Dec-15,111.60,111.62,110.64,111.60,855704
24-Dec-15,111.97,112.59,111.68,112.07,252538
23-Dec-15,111.01,112.02,110.83,111.96,917473
22-Dec-15,110.31,111.24,109.69,111.04,990816
21-Dec-15,109.89,110.32,109.27,110.04,710903
18-Dec-15,110.50,110.64,109.36,109.36,1112497
17-Dec-15,112.73,112.82,110.85,110.90,1654628
16-Dec-15,111.39,112.43,110.83,112.23,540911
15-Dec-15,109.79,110.92,109.79,110.65,956641
14-Dec-15,109.87,110.44,108.38,109.23,643575
11-Dec-15,111.06,111.20,109.61,109.96,1546820
10-Dec-15,111.74,112.69,111.45,112.12,395773
9-Dec-15,112.57,113.77,111.32,111.74,478752
8-Dec-15,112.63,113.34,112.08,112.91,428870
7-Dec-15,114.95,114.95,113.10,113.56,395799
4-Dec-15,113.93,115.20,113.82,115.08,426886
3-Dec-15,116.15,116.30,113.38,113.89,497620
2-Dec-15,116.98,117.09,115.59,115.75,295579
1-Dec-15,116.75,117.01,116.16,116.99,311512
30-Nov-15,116.86,117.04,116.08,116.13,378885
27-Nov-15,116.47,116.88,116.11,116.64,490582
25-Nov-15,115.85,116.53,115.62,116.38,342548
24-Nov-15,114.70,115.93,114.27,115.80,281955
23-Nov-15,114.66,115.53,114.63,115.08,428260
20-Nov-15,114.48,115.05,114.30,114.65,375081
19-Nov-15,114.27,114.46,113.80,114.08,369447
18-Nov-15,112.86,114.40,112.58,114.33,602076
17-Nov-15,113.17,113.79,112.36,112.52,333561
16-Nov-15,111.47,112.83,111.27,112.83,393847
13-Nov-15,112.35,112.78,111.41,111.69,377479
12-Nov-15,114.03,114.18,112.54,112.57,357292
11-Nov-15,115.93,115.93,114.82,114.84,228695
10-Nov-15,115.05,115.70,114.67,115.70,275743
9-Nov-15,116.53,116.75,114.71,115.39,334922
6-Nov-15,115.98,116.65,115.11,116.61,618704
5-Nov-15,116.28,116.48,115.23,116.26,410952
4-Nov-15,116.73,116.87,115.70,116.20,432658
3-Nov-15,116.08,116.99,115.71,116.41,495181
2-Nov-15,114.23,116.36,114.15,116.19,808345
30-Oct-15,114.19,114.75,113.98,114.08,260490
29-Oct-15,114.75,115.10,114.02,114.37,389690
28-Oct-15,112.79,115.13,112.56,115.11,411207
27-Oct-15,113.21,113.31,111.91,112.57,570813
26-Oct-15,114.15,114.17,113.35,113.61,387850
23-Oct-15,114.14,114.28,113.20,114.15,555167
22-Oct-15,113.21,113.82,112.51,113.36,421010
21-Oct-15,114.49,114.49,112.43,112.54,282177
20-Oct-15,113.95,114.71,113.68,114.05,428474
19-Oct-15,113.46,114.43,113.31,114.04,220168
16-Oct-15,114.10,114.23,113.07,113.90,457225
15-Oct-15,112.40,113.93,111.70,113.90,268930
14-Oct-15,113.07,113.54,111.93,112.12,229474
13-Oct-15,113.79,114.81,112.91,112.99,558622
12-Oct-15,114.53,114.79,113.97,114.29,300546
9-Oct-15,114.40,114.81,114.07,114.48,315692
8-Oct-15,113.05,114.51,112.70,114.25,379165
7-Oct-15,112.08,113.21,111.57,113.17,316578
6-Oct-15,111.91,112.38,110.92,111.55,606311
5-Oct-15,110.52,112.09,110.44,111.98,436433
2-Oct-15,107.04,109.57,106.25,109.53,668798
1-Oct-15,107.97,108.36,106.53,107.87,1089017
30-Sep-15,107.33,108.08,106.73,107.95,785108
29-Sep-15,106.96,107.59,105.86,106.32,794446
28-Sep-15,109.74,109.75,106.51,106.87,819852
25-Sep-15,111.59,112.00,109.46,110.01,437352
