Date,Open,High,Low,Close,Volume
25-Aug-16,45.36,45.45,45.31,45.35,1712494
24-Aug-16,45.56,45.64,45.41,45.45,3919449
23-Aug-16,45.77,45.83,45.57,45.58,2290080
22-Aug-16,45.38,45.49,45.25,45.45,1076133
19-Aug-16,45.42,45.56,45.26,45.54,970778
18-Aug-16,45.63,45.84,45.59,45.83,984472
17-Aug-16,45.50,45.70,45.28,45.62,1423663
16-Aug-16,45.71,45.75,45.58,45.62,1239076
15-Aug-16,45.65,45.85,45.65,45.76,1281773
12-Aug-16,45.66,45.69,45.44,45.49,1405989
11-Aug-16,45.47,45.68,45.42,45.63,1635592
10-Aug-16,45.39,45.40,45.20,45.24,1427508
9-Aug-16,44.95,45.24,44.95,45.15,1253065
8-Aug-16,44.72,44.81,44.69,44.77,766695
5-Aug-16,44.39,44.63,44.39,44.54,4728053
4-Aug-16,44.26,44.40,44.16,44.36,953298
3-Aug-16,43.87,44.13,43.82,44.12,1514074
2-Aug-16,44.36,44.42,44.02,44.19,2471107
1-Aug-16,44.62,44.68,44.38,44.44,2300358
29-Jul-16,44.47,44.72,44.38,44.67,1787230
28-Jul-16,44.23,44.26,44.00,44.22,783179
27-Jul-16,44.27,44.36,43.91,44.27,1710151
26-Jul-16,44.03,44.20,43.92,44.07,1336952
25-Jul-16,44.04,44.05,43.81,43.90,940022
22-Jul-16,44.03,44.03,43.88,43.98,1573884
21-Jul-16,43.97,44.12,43.85,43.94,2575450
20-Jul-16,43.92,44.11,43.86,44.04,1356446
19-Jul-16,43.79,43.82,43.62,43.69,888961
18-Jul-16,43.92,44.13,43.83,44.10,1769467
15-Jul-16,44.05,44.05,43.83,43.92,1608282
14-Jul-16,44.08,44.22,44.03,44.14,2010907
13-Jul-16,43.85,43.91,43.61,43.72,2579122
12-Jul-16,43.70,43.94,43.68,43.78,1947337
11-Jul-16,43.06,43.32,43.06,43.19,1603229
8-Jul-16,42.36,42.65,42.33,42.62,2148931
7-Jul-16,42.19,42.34,41.80,41.94,1568444
6-Jul-16,41.71,42.10,41.46,42.08,2238478
5-Jul-16,42.50,42.50,42.06,42.15,1442208
1-Jul-16,42.93,43.06,42.88,42.98,2173047
30-Jun-16,42.40,42.87,42.29,42.85,4357908
