Date,Dividends
2016-03-22,0.000000
2016-03-21,0.919000
2015-12-23,1.098000
2015-09-23,0.752000
2015-06-26,0.762000
2015-03-25,0.512000
2014-12-22,1.103000
2014-09-24,0.668000
2014-06-24,0.695000
2014-03-25,0.453000
2013-12-24,1.008000
2013-09-23,0.618000
2013-06-24,0.631000
2013-03-22,0.534000
2012-12-24,0.797000
2012-09-24,0.525000
2012-06-25,0.519000
2012-03-26,0.502000
2011-12-23,0.642000
2011-09-23,0.497000
2011-06-24,0.499000
2011-03-25,0.412000
2010-12-27,0.595000
2010-09-24,0.462000
2010-06-24,0.463000
2010-03-25,0.371000
2009-12-24,0.584000
2009-09-24,0.417000
2009-06-24,0.485000
2009-03-25,0.478000
2008-12-24,0.935000
2008-09-24,0.772000
2008-06-24,0.798000
2008-03-25,0.495000
2007-12-20,1.014000
2007-09-24,0.738000
2007-06-25,0.892000
2007-03-26,0.467000
2006-12-22,1.494000
2006-09-25,0.678000
2006-06-26,0.678000
2006-03-20,0.404000
2005-12-27,1.627000
2005-09-26,0.676000
2005-06-27,0.644000
2005-03-24,0.614000
2004-12-22,1.270000
