Date,Open,High,Low,Close,Volume
10-Jun-16,84.78,85.02,84.34,84.70,2538441
9-Jun-16,84.91,85.26,84.61,85.10,4132833
8-Jun-16,84.31,84.98,84.05,84.91,3098992
7-Jun-16,84.23,84.62,83.99,84.37,2424578
6-Jun-16,84.59,84.77,83.42,83.86,3231941
3-Jun-16,84.98,85.24,84.10,84.51,4295432
2-Jun-16,83.50,84.20,83.29,84.17,8043493
1-Jun-16,83.38,83.95,83.30,83.74,4417661
31-May-16,83.55,83.92,83.16,83.67,4810900
27-May-16,83.37,84.03,83.29,83.68,3006859
26-May-16,82.91,83.48,82.72,83.23,3045919
25-May-16,83.29,83.29,82.25,83.07,3289985
24-May-16,82.56,83.21,82.26,83.07,2998340
23-May-16,82.18,82.36,81.85,82.05,2729391
20-May-16,81.70,82.19,81.55,82.04,3295510
19-May-16,81.79,81.98,80.96,81.39,4315974
18-May-16,83.27,83.36,81.37,82.31,4707456
17-May-16,84.99,84.99,83.16,83.62,4308320
16-May-16,84.39,85.44,84.32,85.20,3374902
13-May-16,84.93,84.93,83.81,84.40,3991612
12-May-16,84.77,85.44,84.08,85.16,3470957
11-May-16,86.47,86.47,84.34,84.67,4062435
10-May-16,86.72,86.82,86.22,86.52,4033767
9-May-16,85.86,86.67,85.62,86.53,4568701
6-May-16,84.65,85.66,84.26,85.59,3496429
5-May-16,84.53,84.82,84.13,84.66,3323682
4-May-16,82.71,84.58,82.71,84.42,4138251
3-May-16,83.07,83.29,82.59,83.23,3305703
2-May-16,81.78,83.31,81.78,83.10,4008164
29-Apr-16,82.19,82.37,81.03,81.83,4115469
28-Apr-16,82.26,83.09,81.94,82.59,2870579
27-Apr-16,82.79,82.92,81.86,82.76,3239838
26-Apr-16,82.79,83.28,82.51,82.81,3190848
25-Apr-16,81.55,82.50,81.53,82.49,2381352
22-Apr-16,80.93,81.95,80.81,81.81,3124388
21-Apr-16,82.36,82.53,80.68,80.93,5046121
20-Apr-16,83.83,84.00,82.33,82.40,4085843
19-Apr-16,84.01,84.01,83.48,83.82,3137230
18-Apr-16,83.25,83.79,83.14,83.78,2347387
15-Apr-16,82.92,83.58,82.50,83.38,2429068
14-Apr-16,83.17,83.23,82.54,82.76,2044232
13-Apr-16,83.83,83.87,82.94,83.22,2827279
12-Apr-16,83.17,83.79,82.96,83.59,2504642
11-Apr-16,83.32,83.56,82.97,82.99,2848010
8-Apr-16,83.13,83.50,82.95,83.16,3370305
7-Apr-16,83.02,83.22,82.33,82.70,2339433
6-Apr-16,83.05,83.26,82.59,83.22,2940469
5-Apr-16,83.20,83.42,82.81,83.02,3251287
4-Apr-16,83.86,83.94,83.28,83.57,6908841
1-Apr-16,83.63,83.83,83.17,83.69,5266687
31-Mar-16,83.28,83.91,83.11,83.80,7533927
30-Mar-16,83.66,83.84,83.22,83.29,3503133
29-Mar-16,81.78,83.49,81.53,83.45,5023465
28-Mar-16,80.93,81.86,80.91,81.68,3885066
24-Mar-16,80.78,81.02,80.23,80.95,2839380
23-Mar-16,81.36,81.45,80.87,80.92,2837464
22-Mar-16,81.20,81.60,80.88,81.36,4791256
21-Mar-16,81.96,82.22,81.22,81.36,4342967
18-Mar-16,83.54,83.75,83.02,83.02,3274741
17-Mar-16,82.35,83.56,81.98,83.38,5526429
16-Mar-16,81.01,82.35,80.72,82.22,3439585
15-Mar-16,80.86,81.41,80.70,81.24,1898151
14-Mar-16,81.07,81.28,80.75,81.20,2593869
11-Mar-16,80.21,81.27,80.03,81.19,2520933
10-Mar-16,80.25,80.41,78.53,79.41,2472538
9-Mar-16,79.51,80.12,79.33,79.70,3566715
8-Mar-16,79.97,80.04,79.16,79.26,2829016
7-Mar-16,79.46,80.26,79.32,80.08,3504622
4-Mar-16,79.73,79.94,79.29,79.87,2740018
3-Mar-16,79.47,79.86,79.06,79.86,2906943
2-Mar-16,78.56,79.48,78.41,79.44,3621658
1-Mar-16,76.78,78.88,76.64,78.87,5309506
29-Feb-16,76.93,77.78,76.59,76.71,5057180
26-Feb-16,77.33,77.68,76.98,77.01,3180536
25-Feb-16,76.20,77.45,76.20,77.41,3380685
24-Feb-16,75.62,76.02,75.08,75.86,2997528
23-Feb-16,76.08,76.85,75.83,75.95,2608306
22-Feb-16,76.03,76.71,76.00,76.15,2956575
19-Feb-16,74.74,75.75,74.49,75.43,2885537
18-Feb-16,74.41,75.20,73.95,75.00,3539725
17-Feb-16,73.69,75.09,73.69,74.25,3060921
16-Feb-16,72.85,73.70,72.51,73.62,3888888
12-Feb-16,72.13,72.49,71.55,72.29,5067039
11-Feb-16,71.48,71.95,70.89,71.47,4930687
10-Feb-16,72.47,73.48,72.18,72.50,3877078
9-Feb-16,72.61,72.80,71.44,72.00,8404641
8-Feb-16,75.02,75.12,72.19,73.35,5440715
5-Feb-16,76.81,76.81,75.44,75.51,4033760
4-Feb-16,76.88,77.39,76.18,76.97,4286688
3-Feb-16,76.81,77.23,75.98,76.93,5729119
2-Feb-16,76.75,77.00,75.99,76.42,6404965
1-Feb-16,76.52,77.77,76.27,77.12,6925313
29-Jan-16,75.90,77.07,75.33,76.99,10927691
28-Jan-16,76.46,76.74,75.15,75.44,5580726
27-Jan-16,77.42,77.42,75.54,76.02,4883284
26-Jan-16,76.28,77.55,76.13,77.52,5213715
25-Jan-16,76.25,77.07,75.73,75.93,4669619
22-Jan-16,75.06,76.70,74.94,76.41,4542016
21-Jan-16,74.28,75.39,73.68,74.34,6849313
20-Jan-16,75.10,75.30,72.33,73.93,9085460
19-Jan-16,75.92,76.56,75.57,75.97,4978063
15-Jan-16,75.14,75.76,74.55,75.57,5571398
14-Jan-16,76.17,76.78,75.52,76.09,5167498
13-Jan-16,77.63,78.20,76.10,76.27,7679355
12-Jan-16,78.31,78.41,76.98,77.38,5951947
11-Jan-16,77.53,78.36,77.50,77.90,4956810
8-Jan-16,79.04,79.10,77.33,77.46,4628638
7-Jan-16,79.10,79.43,78.43,78.51,6297507
6-Jan-16,79.57,80.19,79.53,80.07,5481163
5-Jan-16,78.80,80.54,78.73,80.29,7114727
4-Jan-16,79.07,79.10,78.04,78.77,8843664
31-Dec-15,80.39,80.64,79.72,79.73,3292351
30-Dec-15,80.65,80.91,80.37,80.43,3114296
29-Dec-15,80.00,80.80,79.87,80.71,3499777
28-Dec-15,79.16,79.87,79.01,79.86,6628779
24-Dec-15,79.27,79.69,78.98,79.42,1425968
23-Dec-15,78.80,79.44,78.71,79.42,4028968
22-Dec-15,79.57,80.21,79.56,79.71,6484383
21-Dec-15,79.50,79.87,78.96,79.39,4455436
18-Dec-15,79.92,80.05,79.08,79.08,5724431
17-Dec-15,80.51,80.59,79.78,80.01,3726819
16-Dec-15,79.20,80.56,79.01,80.41,4699255
15-Dec-15,78.37,79.26,78.37,78.87,3449103
14-Dec-15,77.77,78.06,77.06,78.02,4769633
11-Dec-15,77.62,78.01,77.17,77.66,3420846
10-Dec-15,78.49,78.76,77.73,77.80,3464962
9-Dec-15,78.53,79.16,77.96,78.36,4219153
8-Dec-15,78.44,79.09,78.36,78.80,3638648
7-Dec-15,78.96,79.19,78.52,78.87,4195204
4-Dec-15,77.68,79.29,77.65,79.09,3434099
3-Dec-15,78.73,78.85,77.40,77.61,4737363
2-Dec-15,80.26,80.37,78.73,78.85,5713529
1-Dec-15,79.50,80.52,79.42,80.49,3847326
30-Nov-15,80.27,80.46,79.18,79.39,7043376
27-Nov-15,79.26,80.23,79.24,79.98,1348687
25-Nov-15,79.01,79.48,78.93,79.29,1959716
24-Nov-15,78.96,79.13,78.32,78.97,3498947
23-Nov-15,79.26,79.69,79.11,79.39,2369382
20-Nov-15,78.73,79.31,78.50,79.22,3964607
19-Nov-15,78.10,78.63,77.89,78.24,3628076
18-Nov-15,77.41,78.05,76.92,78.00,3429248
17-Nov-15,77.11,77.98,77.03,77.32,3845609
16-Nov-15,76.27,77.32,76.12,77.32,3117899
13-Nov-15,77.36,77.75,76.38,76.44,4249350
12-Nov-15,77.64,78.01,77.18,77.32,3212227
11-Nov-15,77.76,78.18,77.56,77.87,2228288
10-Nov-15,76.87,77.94,76.85,77.76,4688603
9-Nov-15,77.72,77.88,76.38,76.88,5918921
6-Nov-15,79.43,79.76,77.72,78.22,7070094
5-Nov-15,80.44,80.82,79.98,80.73,2804126
4-Nov-15,80.82,80.96,80.17,80.41,3165070
3-Nov-15,81.41,81.49,80.45,80.77,5285316
2-Nov-15,80.07,81.60,79.78,81.59,6869596
30-Oct-15,80.64,80.81,79.82,79.89,7057075
29-Oct-15,80.50,80.74,80.09,80.63,3283007
28-Oct-15,80.67,81.26,79.25,80.74,4576414
27-Oct-15,80.69,80.88,80.27,80.67,7133900
26-Oct-15,80.75,80.94,80.04,80.70,3279976
23-Oct-15,81.54,81.68,80.23,80.72,3421193
22-Oct-15,80.96,81.77,80.81,81.51,3504133
21-Oct-15,81.25,81.49,80.74,80.80,3460448
20-Oct-15,80.98,81.32,80.76,81.10,2781522
19-Oct-15,79.98,81.13,79.87,81.13,3146051
16-Oct-15,79.46,80.15,79.43,80.00,2873557
15-Oct-15,78.42,79.41,78.35,79.41,2533336
14-Oct-15,79.09,79.18,78.17,78.34,3349195
13-Oct-15,79.30,79.60,78.70,78.93,2362743
12-Oct-15,79.16,79.85,78.99,79.55,3216534
9-Oct-15,79.11,79.18,78.60,78.99,3102650
8-Oct-15,78.39,79.20,78.13,79.12,3953200
7-Oct-15,77.88,78.46,77.61,78.46,4211646
6-Oct-15,77.79,78.21,77.35,77.57,3570660
5-Oct-15,76.78,77.88,76.75,77.75,5176458
2-Oct-15,76.11,76.48,75.04,76.46,4601952
1-Oct-15,75.66,76.03,75.11,75.91,4105109
30-Sep-15,75.45,75.69,74.91,75.54,6236989
29-Sep-15,74.57,75.23,74.05,74.91,3784860
28-Sep-15,75.12,75.15,73.57,74.12,4094553
25-Sep-15,75.32,75.92,74.85,75.29,3330030
24-Sep-15,75.59,75.91,74.53,74.99,3707516
23-Sep-15,75.50,76.08,75.09,75.69,3708676
22-Sep-15,76.41,76.83,75.81,75.99,2963525
21-Sep-15,76.34,77.34,76.30,76.95,3131948
18-Sep-15,75.89,77.21,75.54,76.30,5798278
17-Sep-15,75.65,77.74,75.27,76.43,6337721
16-Sep-15,74.72,75.75,74.69,75.57,3318529
15-Sep-15,74.07,74.93,73.57,74.77,2736777
14-Sep-15,74.11,74.25,73.82,74.04,3040480
11-Sep-15,72.60,74.02,72.49,74.00,3892267
10-Sep-15,72.33,73.37,72.25,72.61,4609548
9-Sep-15,73.87,74.14,72.34,72.45,2999263
8-Sep-15,72.84,73.49,72.61,73.29,3004455
4-Sep-15,73.12,73.12,71.67,72.15,4262666
3-Sep-15,73.62,74.11,73.40,73.57,3712138
2-Sep-15,73.09,73.62,72.72,73.37,5018509
1-Sep-15,73.29,73.66,72.10,72.61,7204170
31-Aug-15,75.58,75.75,74.03,74.03,6178545
28-Aug-15,75.82,75.98,75.22,75.76,3867557
27-Aug-15,75.12,76.46,74.48,75.87,5627399
26-Aug-15,73.19,74.63,72.86,74.43,5067430
25-Aug-15,75.52,76.00,72.46,72.47,9148939
24-Aug-15,75.52,77.07,72.25,74.52,10864370
21-Aug-15,79.26,79.56,78.18,78.18,4120553
20-Aug-15,79.86,80.26,79.42,79.66,3894139
19-Aug-15,80.51,80.62,79.77,80.25,2400981
18-Aug-15,80.47,80.83,80.24,80.73,2904785
17-Aug-15,79.91,80.57,79.49,80.51,2912583
14-Aug-15,79.17,79.86,78.87,79.83,2558213
13-Aug-15,79.13,79.73,78.47,79.40,2381923
12-Aug-15,78.78,79.33,78.36,79.31,3229165
11-Aug-15,78.34,79.39,78.25,79.06,4539891
10-Aug-15,79.10,79.17,78.18,78.54,2605110
7-Aug-15,78.37,78.90,77.80,78.79,3942615
6-Aug-15,78.46,78.55,77.19,78.50,3473260
5-Aug-15,79.00,79.15,78.08,78.39,3783091
4-Aug-15,79.72,79.86,78.73,78.91,4087323
3-Aug-15,79.27,79.57,79.00,79.49,3766413
31-Jul-15,78.92,79.63,78.85,79.00,5490420
30-Jul-15,78.65,78.78,78.12,78.38,2932498
29-Jul-15,78.17,78.90,77.85,78.77,7988137
28-Jul-15,78.22,78.51,77.98,78.26,2673997
27-Jul-15,77.94,78.66,77.94,78.21,3003046
24-Jul-15,77.77,78.33,77.53,78.07,2800285
23-Jul-15,78.67,78.71,77.27,77.74,3188934
22-Jul-15,78.45,79.00,78.37,78.72,2883484
21-Jul-15,78.68,78.99,78.37,78.38,3540725
20-Jul-15,78.32,78.74,78.08,78.60,2164757
17-Jul-15,78.74,78.83,78.27,78.51,1803094
16-Jul-15,78.29,78.89,78.29,78.79,2494775
15-Jul-15,77.83,78.44,77.68,78.16,2238054
14-Jul-15,78.00,78.30,77.57,78.03,2422879
13-Jul-15,77.82,78.74,77.46,77.87,2887776
10-Jul-15,77.44,78.28,77.26,77.76,4774131
9-Jul-15,77.68,77.94,76.93,77.12,3313528
8-Jul-15,77.37,77.76,77.25,77.49,4941847
7-Jul-15,77.00,77.92,76.81,77.79,5921002
6-Jul-15,75.73,76.69,75.64,76.59,5116724
2-Jul-15,76.46,77.14,75.98,76.11,4303682
1-Jul-15,74.38,75.92,74.36,75.92,6318896
30-Jun-15,75.13,75.39,74.50,74.69,5855884
29-Jun-15,75.62,76.38,74.67,74.72,5111977
26-Jun-15,75.30,76.09,75.09,75.90,3789498
25-Jun-15,77.00,77.00,76.09,76.12,4820644
24-Jun-15,77.35,77.66,76.87,76.90,3900179
23-Jun-15,77.65,77.82,77.18,77.32,2933150
22-Jun-15,78.78,79.13,77.89,77.97,3898729
19-Jun-15,79.44,79.61,78.53,78.78,5986296
18-Jun-15,78.36,79.72,78.31,79.39,5616873
17-Jun-15,77.71,78.37,77.12,78.31,3922279
16-Jun-15,77.10,77.77,76.94,77.65,5474761
15-Jun-15,77.38,77.38,76.85,77.03,3565242
12-Jun-15,77.24,77.76,77.22,77.45,3125471
11-Jun-15,77.62,77.81,77.37,77.52,9410978
10-Jun-15,76.47,77.73,76.38,77.05,4332027
9-Jun-15,76.82,77.21,76.40,76.51,4604470
8-Jun-15,77.20,77.41,76.90,77.07,3347087
5-Jun-15,77.05,77.80,76.50,77.21,6140965
4-Jun-15,78.15,78.44,77.83,78.08,3710106
3-Jun-15,79.15,79.31,78.14,78.23,3886830
2-Jun-15,79.76,79.80,79.03,79.37,3313202
1-Jun-15,79.39,80.26,79.02,80.11,4464422
29-May-15,79.93,80.20,79.03,79.14,4786536
28-May-15,80.17,80.39,79.65,80.06,2771954
27-May-15,79.74,80.34,79.36,80.22,2978592
26-May-15,80.00,80.05,79.21,79.44,3041692
22-May-15,79.86,80.60,79.60,80.05,4067546
21-May-15,80.61,80.71,79.78,80.15,2667793
20-May-15,80.71,81.08,80.43,80.53,3427365
19-May-15,80.48,81.08,80.41,80.60,2784659
18-May-15,80.82,81.06,80.44,80.88,3450150
15-May-15,80.60,81.33,80.41,81.09,4390624
14-May-15,79.19,80.31,78.99,80.27,4905369
13-May-15,80.00,80.35,78.59,78.75,6222303
12-May-15,78.68,79.76,78.12,79.51,4739286
11-May-15,80.17,80.71,79.03,79.27,3080565
8-May-15,80.15,81.57,80.12,80.48,5136530
7-May-15,78.28,79.68,78.21,79.37,6360649
