Date,Open,High,Low,Close,Volume
10-Jun-16,124.93,124.93,123.82,124.17,227475
9-Jun-16,125.84,126.17,125.46,126.04,386461
8-Jun-16,126.11,126.40,125.84,126.32,239160
7-Jun-16,125.41,126.21,125.24,125.90,232382
6-Jun-16,124.92,125.52,124.66,125.28,303264
3-Jun-16,124.91,125.32,123.70,124.60,381527
2-Jun-16,124.12,125.17,123.98,125.17,309321
1-Jun-16,123.57,124.46,123.30,124.41,511560
31-May-16,124.21,124.37,123.60,124.10,323280
27-May-16,123.34,123.90,123.28,123.90,238803
26-May-16,123.42,123.50,123.05,123.25,398699
25-May-16,122.79,123.49,122.72,123.20,357809
24-May-16,121.42,122.67,121.38,122.51,882037
23-May-16,120.89,121.23,120.71,120.81,618474
20-May-16,120.35,120.95,120.34,120.92,348499
19-May-16,119.43,120.20,118.94,119.84,402554
18-May-16,120.28,121.14,119.40,120.23,639975
17-May-16,121.10,121.67,120.14,120.49,316159
16-May-16,120.40,121.71,120.38,121.36,269239
13-May-16,120.86,121.36,119.91,120.23,408168
12-May-16,121.85,122.00,120.40,121.13,635567
11-May-16,122.17,122.40,121.28,121.28,352748
10-May-16,121.41,122.53,121.19,122.52,312749
9-May-16,120.80,121.33,120.54,121.01,316759
6-May-16,120.00,120.88,119.60,120.81,429270
5-May-16,120.92,121.22,120.27,120.46,298100
4-May-16,120.73,121.28,120.21,120.60,328312
3-May-16,121.93,121.93,120.84,121.43,365129
2-May-16,122.23,122.92,121.77,122.79,372437
29-Apr-16,122.10,122.43,120.88,121.86,479909
28-Apr-16,123.37,124.27,122.49,122.72,342538
27-Apr-16,123.48,124.41,123.27,124.20,225575
26-Apr-16,123.00,123.44,122.68,123.40,265713
25-Apr-16,122.68,122.85,122.14,122.58,286452
22-Apr-16,122.67,123.32,122.45,123.05,480566
21-Apr-16,123.44,123.49,122.33,122.47,236735
20-Apr-16,123.27,123.77,122.65,123.23,364154
19-Apr-16,123.13,123.45,122.49,123.11,334523
18-Apr-16,121.23,122.70,121.22,122.63,252034
15-Apr-16,121.54,121.95,121.38,121.91,498044
14-Apr-16,121.97,122.06,121.43,121.69,282325
13-Apr-16,121.17,122.14,121.08,122.13,302573
12-Apr-16,119.76,120.69,119.14,120.51,255225
11-Apr-16,120.46,121.01,119.57,119.58,309568
8-Apr-16,120.43,120.64,119.57,119.91,334841
7-Apr-16,120.19,120.71,118.93,119.49,309202
6-Apr-16,119.65,120.98,119.38,120.92,316169
5-Apr-16,120.02,120.30,119.49,119.57,321666
4-Apr-16,121.72,121.79,120.76,120.88,237506
1-Apr-16,120.42,121.82,119.81,121.72,947633
31-Mar-16,120.97,121.41,120.80,121.23,288599
30-Mar-16,121.24,121.46,120.57,120.91,411395
29-Mar-16,118.76,120.60,118.63,120.60,367069
28-Mar-16,119.27,119.46,118.57,119.20,299360
24-Mar-16,118.13,118.83,117.83,118.79,459010
23-Mar-16,119.87,119.87,118.93,118.96,315070
22-Mar-16,119.46,120.48,119.13,120.20,306711
21-Mar-16,119.89,120.28,119.62,120.09,323153
18-Mar-16,119.95,120.44,119.64,120.12,582978
17-Mar-16,118.57,119.90,118.27,119.52,864315
16-Mar-16,117.01,118.76,117.01,118.61,270202
15-Mar-16,117.55,117.68,117.06,117.51,297749
14-Mar-16,118.49,118.93,118.15,118.69,1227311
11-Mar-16,117.71,119.00,117.64,118.96,304956
10-Mar-16,116.84,117.42,115.29,116.51,553255
9-Mar-16,116.39,116.60,115.72,116.44,461545
8-Mar-16,117.15,117.15,115.68,115.81,366037
7-Mar-16,116.71,118.10,116.58,117.76,1254262
4-Mar-16,117.11,117.94,116.59,117.30,537427
3-Mar-16,115.81,117.05,115.58,117.04,621870
2-Mar-16,114.95,116.00,114.58,115.95,577923
1-Mar-16,113.44,115.14,112.92,115.14,347609
29-Feb-16,113.47,113.93,112.49,112.49,329775
26-Feb-16,113.67,113.86,113.08,113.36,300577
25-Feb-16,111.84,112.96,111.32,112.93,326257
24-Feb-16,109.92,111.78,109.20,111.59,403814
23-Feb-16,111.59,112.15,110.75,110.90,393440
22-Feb-16,111.52,112.34,111.30,112.21,334552
19-Feb-16,109.74,110.39,109.15,110.32,422342
18-Feb-16,110.92,110.92,109.83,110.30,444873
17-Feb-16,109.51,110.96,109.40,110.66,653525
16-Feb-16,107.61,108.75,106.99,108.63,578561
12-Feb-16,105.00,106.35,104.37,106.27,772657
11-Feb-16,103.80,104.56,102.85,103.91,815374
10-Feb-16,105.80,107.10,105.45,105.52,1202424
9-Feb-16,103.99,106.01,103.86,105.02,801251
8-Feb-16,106.73,107.00,103.77,105.18,653872
5-Feb-16,109.68,109.83,107.64,107.89,652806
4-Feb-16,109.44,111.14,109.42,110.27,3136576
3-Feb-16,109.82,109.93,107.11,109.63,829715
2-Feb-16,110.39,110.39,108.37,108.76,1044394
1-Feb-16,110.26,111.85,109.97,111.36,633793
29-Jan-16,108.62,111.14,108.62,110.97,868887
28-Jan-16,109.19,109.35,107.44,108.11,558295
27-Jan-16,108.99,110.44,107.75,108.40,582518
26-Jan-16,108.11,109.65,107.88,109.57,445552
25-Jan-16,109.05,109.29,107.41,107.64,551218
22-Jan-16,109.16,109.98,108.67,109.61,474062
21-Jan-16,106.98,108.68,106.17,107.28,562440
20-Jan-16,106.07,107.83,103.41,106.86,911383
19-Jan-16,109.40,109.63,106.68,107.70,877673
15-Jan-16,107.26,108.71,106.63,108.41,1151223
14-Jan-16,109.82,111.04,107.90,110.39,785844
13-Jan-16,112.73,112.98,108.90,109.21,1114568
12-Jan-16,112.95,113.33,110.80,112.35,552361
11-Jan-16,112.97,113.25,110.67,111.84,663754
8-Jan-16,114.38,114.69,112.21,112.38,785698
7-Jan-16,114.45,115.63,113.57,113.85,506392
6-Jan-16,116.97,117.42,115.78,116.47,904498
5-Jan-16,118.81,119.07,118.06,118.66,675846
4-Jan-16,118.13,118.54,117.21,118.54,633568
31-Dec-15,120.44,121.16,120.05,120.11,556098
30-Dec-15,121.75,121.84,120.85,120.85,774799
29-Dec-15,121.47,121.99,121.30,121.85,629903
28-Dec-15,120.43,120.81,119.80,120.80,1088353
24-Dec-15,121.17,121.46,120.83,121.09,307978
23-Dec-15,120.04,121.20,119.90,121.20,551174
22-Dec-15,119.17,120.25,118.73,119.95,581957
21-Dec-15,118.69,119.17,118.13,118.92,505526
18-Dec-15,119.25,119.50,118.02,118.03,538581
17-Dec-15,121.89,121.89,119.68,119.69,564086
16-Dec-15,120.63,121.80,119.81,121.64,510812
15-Dec-15,119.38,120.23,119.27,119.88,942286
14-Dec-15,118.52,119.27,117.18,118.42,578289
11-Dec-15,119.93,120.12,118.42,118.73,513673
10-Dec-15,120.88,121.85,120.65,121.09,333758
9-Dec-15,121.61,122.95,120.34,120.88,361962
8-Dec-15,121.51,122.59,121.30,122.04,402595
7-Dec-15,123.55,123.55,122.12,122.65,347389
4-Dec-15,121.92,123.86,121.92,123.75,342483
3-Dec-15,123.96,124.15,121.24,121.77,463440
2-Dec-15,125.05,125.13,123.46,123.59,426840
1-Dec-15,124.51,125.19,124.28,125.19,297684
30-Nov-15,124.59,124.65,123.84,124.01,378176
27-Nov-15,124.21,124.49,123.87,124.40,260865
25-Nov-15,123.89,124.39,123.74,124.19,475316
24-Nov-15,122.97,124.17,122.63,123.90,318940
23-Nov-15,123.40,124.00,123.24,123.50,283468
20-Nov-15,123.39,123.71,122.98,123.29,299574
19-Nov-15,122.96,123.26,122.66,122.83,312590
18-Nov-15,121.55,123.07,121.43,122.96,384177
17-Nov-15,121.55,122.15,120.81,121.06,351814
16-Nov-15,119.59,121.28,119.51,121.28,248091
13-Nov-15,120.55,120.67,119.50,119.64,425367
12-Nov-15,122.28,122.56,120.93,120.95,377573
11-Nov-15,123.99,124.06,122.86,122.94,233275
10-Nov-15,122.83,123.66,122.71,123.64,239626
9-Nov-15,124.23,124.23,122.42,123.16,334065
6-Nov-15,124.84,124.84,123.50,124.46,307485
