Date,Dividends
2016-03-15,0.480000
2015-12-21,0.583000
2015-09-25,0.508000
2015-06-26,0.468000
2015-03-25,0.508000
2014-12-22,0.561000
2014-09-24,0.465000
2014-06-24,0.420000
2014-03-25,0.423000
2013-12-20,0.494000
2013-09-23,0.429000
2013-06-24,0.386000
2013-03-22,0.364000
2012-12-20,0.545000
2012-09-24,0.364000
2012-06-25,0.346000
2012-03-26,0.308000
2011-12-21,0.361000
2011-09-23,0.306000
2011-06-24,0.283000
2011-03-25,0.283000
2010-12-22,0.346000
2010-09-24,0.297000
2010-06-24,0.269000
2010-03-25,0.236000
2009-12-22,0.358000
2009-09-24,0.248000
2009-06-24,0.223000
2009-03-25,0.278000
2008-12-22,0.335000
2008-09-24,0.296000
2008-06-24,0.313000
2008-03-25,0.311500
2007-12-20,0.385500
2007-09-24,0.321000
2007-06-25,0.285500
2007-03-26,0.305500
2006-12-22,0.356000
2006-09-25,0.264500
2006-06-26,0.267500
2006-03-20,0.263000
2005-12-27,0.336000
2005-09-26,0.285000
2005-06-27,0.201500
2005-03-24,0.219000
2004-12-27,0.392500
2004-09-27,0.193500
2004-06-28,0.190000
2004-03-29,0.175000
2003-12-22,0.221000
2003-09-29,0.170000
2003-06-23,0.150000
2003-03-31,0.150000
2002-12-23,0.196000
2002-09-30,0.150000
2002-06-24,0.130000
2002-03-25,0.150000
2001-12-24,0.196500
2001-09-24,0.157500
2001-06-25,0.140000
