Date,Open,High,Low,Close,Volume
10-Jun-16,107.78,107.92,107.16,107.50,1666944
9-Jun-16,108.45,108.73,108.22,108.62,1743501
8-Jun-16,108.61,108.93,108.50,108.84,1286767
7-Jun-16,108.39,108.81,108.32,108.46,1271484
6-Jun-16,107.84,108.46,107.80,108.25,1782262
3-Jun-16,107.78,107.87,106.94,107.69,2502472
2-Jun-16,107.40,107.99,107.11,107.99,2112798
1-Jun-16,107.00,107.70,106.80,107.63,2679647
31-May-16,107.57,107.69,106.96,107.34,2570879
27-May-16,106.97,107.39,106.95,107.39,1690877
26-May-16,107.02,107.14,106.73,106.91,1803643
25-May-16,106.51,107.14,106.51,106.93,3267043
24-May-16,105.22,106.37,105.22,106.16,2409041
23-May-16,104.92,105.12,104.66,104.76,1662163
20-May-16,104.54,105.14,104.45,104.89,2005731
19-May-16,104.08,104.36,103.37,104.09,2616303
18-May-16,104.26,105.20,103.82,104.50,2797652
17-May-16,105.26,105.46,104.16,104.51,2792158
16-May-16,104.58,105.75,104.41,105.46,2069576
13-May-16,105.08,105.48,104.22,104.42,3754783
12-May-16,105.82,105.88,104.72,105.33,2469974
11-May-16,106.09,106.29,105.34,105.37,1531143
10-May-16,105.50,106.40,105.41,106.34,2400219
9-May-16,104.87,105.34,104.77,105.09,1747328
6-May-16,104.14,104.99,104.00,104.98,1757343
5-May-16,104.95,105.17,104.37,104.60,1600624
4-May-16,104.76,105.17,104.37,104.64,2578799
3-May-16,105.62,105.68,104.82,105.26,5172204
2-May-16,105.80,106.40,105.47,106.33,2546076
29-Apr-16,105.80,105.96,104.80,105.51,3067365
28-Apr-16,106.63,107.30,105.87,106.13,4833688
27-Apr-16,106.66,107.33,106.42,107.09,2268054
26-Apr-16,106.55,107.05,106.44,106.83,1744055
25-Apr-16,106.51,106.59,106.06,106.54,2088117
22-Apr-16,106.51,106.93,106.24,106.80,1893723
21-Apr-16,107.26,107.33,106.48,106.65,1674986
20-Apr-16,107.21,107.64,106.83,107.18,1958310
19-Apr-16,107.02,107.31,106.61,107.07,2103737
18-Apr-16,105.74,106.79,105.61,106.77,1764647
15-Apr-16,106.12,106.19,105.87,106.06,1622495
14-Apr-16,106.24,106.39,105.90,106.11,1666887
13-Apr-16,105.50,106.17,105.43,106.15,2863497
12-Apr-16,104.10,105.10,103.78,104.92,2357534
11-Apr-16,104.65,105.05,103.91,103.91,2275491
8-Apr-16,104.57,104.90,103.91,104.20,2337002
7-Apr-16,104.50,104.74,103.44,103.90,2134785
6-Apr-16,104.09,105.20,103.90,105.16,2571124
5-Apr-16,104.31,104.55,103.87,104.02,2572077
4-Apr-16,105.49,105.55,104.89,105.04,1846750
1-Apr-16,104.30,105.57,103.95,105.48,2994475
31-Mar-16,104.97,105.22,104.70,104.82,2229507
30-Mar-16,105.04,105.39,104.73,104.94,2257814
29-Mar-16,103.19,104.55,102.96,104.54,2920301
28-Mar-16,103.58,103.71,103.07,103.39,2103362
24-Mar-16,102.76,103.33,102.53,103.32,2173043
23-Mar-16,104.04,104.04,103.28,103.35,6081892
22-Mar-16,103.75,104.52,103.61,104.20,1962641
21-Mar-16,103.98,104.36,103.80,104.23,2472898
18-Mar-16,103.95,104.28,103.80,104.13,2942342
17-Mar-16,102.87,103.92,102.60,103.67,3471824
16-Mar-16,101.99,103.09,101.91,102.88,3073226
15-Mar-16,102.00,102.26,101.76,102.24,2992775
14-Mar-16,102.88,103.32,102.69,103.07,2986164
11-Mar-16,102.37,103.24,102.33,103.19,3250998
10-Mar-16,101.80,102.30,100.40,101.47,3702043
9-Mar-16,101.50,101.70,100.98,101.50,2131714
8-Mar-16,101.73,101.80,100.91,101.01,3435687
7-Mar-16,101.65,102.56,101.56,102.28,2963940
4-Mar-16,101.89,102.60,101.40,102.07,2442158
3-Mar-16,101.13,101.75,100.85,101.72,2703325
2-Mar-16,100.52,101.24,100.26,101.22,3591397
1-Mar-16,99.13,100.68,98.84,100.66,2954337
29-Feb-16,99.12,99.69,98.32,98.32,2748264
26-Feb-16,99.67,99.76,98.96,99.11,3194303
25-Feb-16,98.27,99.19,97.82,99.19,4960795
24-Feb-16,96.58,98.14,95.99,98.03,3252914
23-Feb-16,98.38,98.52,97.47,97.53,3197973
22-Feb-16,98.24,98.80,98.11,98.72,2234930
19-Feb-16,96.85,97.36,96.43,97.30,2242995
18-Feb-16,97.90,97.92,97.09,97.28,2396328
17-Feb-16,96.77,97.93,96.59,97.67,3632804
16-Feb-16,95.62,96.09,94.96,96.08,3534201
12-Feb-16,93.47,94.38,93.01,94.36,2946284
11-Feb-16,92.39,93.06,91.58,92.56,7238551
10-Feb-16,94.19,95.27,93.62,93.72,3572765
9-Feb-16,92.84,94.47,92.70,93.66,4793910
8-Feb-16,94.20,94.38,92.50,93.78,6302884
5-Feb-16,96.94,97.00,94.95,95.26,3992571
4-Feb-16,96.79,97.92,96.47,97.26,3431752
3-Feb-16,97.09,97.29,94.89,97.03,5457339
2-Feb-16,97.50,97.55,96.16,96.45,3276209
1-Feb-16,97.75,98.81,97.37,98.35,3868976
29-Jan-16,96.45,98.36,96.35,98.33,5003751
28-Jan-16,96.56,96.66,95.05,95.95,4540658
27-Jan-16,96.40,97.32,95.05,95.57,5201945
26-Jan-16,95.60,96.82,95.44,96.67,3333211
25-Jan-16,96.64,96.65,95.11,95.22,4469445
22-Jan-16,96.33,96.89,95.95,96.81,3700370
21-Jan-16,94.70,95.96,93.82,94.79,7166778
20-Jan-16,94.00,95.27,91.79,94.42,13844892
19-Jan-16,96.57,96.67,94.50,95.36,7423379
15-Jan-16,95.05,95.88,94.22,95.46,8049094
14-Jan-16,96.36,98.18,95.33,97.51,5084407
13-Jan-16,99.00,99.20,95.78,96.04,6158614
12-Jan-16,98.80,99.17,97.28,98.58,4457335
11-Jan-16,98.55,98.67,96.78,97.91,6863777
8-Jan-16,99.61,99.99,97.78,97.97,7015831
7-Jan-16,99.90,100.80,98.87,99.10,9256180
6-Jan-16,101.53,102.23,100.95,101.59,3732756
5-Jan-16,102.90,103.18,102.30,102.97,3652342
4-Jan-16,102.58,102.95,101.58,102.74,6137067
31-Dec-15,104.93,105.32,104.30,104.30,3652676
30-Dec-15,105.96,106.00,105.25,105.32,2406101
29-Dec-15,105.69,106.24,105.54,106.12,2508257
