Date,Open,High,Low,Close,Volume
10-Jun-16,34.45,34.50,34.11,34.20,13902715
9-Jun-16,35.08,35.13,34.95,35.09,12983331
8-Jun-16,35.41,35.52,35.35,35.49,13666833
7-Jun-16,35.06,35.25,35.03,35.20,12981785
6-Jun-16,34.67,34.92,34.66,34.86,14301291
3-Jun-16,34.43,34.62,34.21,34.57,31195999
2-Jun-16,33.78,34.07,33.69,34.04,12816062
1-Jun-16,33.69,33.85,33.55,33.77,16739148
31-May-16,33.75,33.92,33.66,33.80,23613793
27-May-16,33.83,33.90,33.60,33.71,13249905
26-May-16,33.75,33.83,33.56,33.72,9201009
25-May-16,33.42,33.64,33.38,33.50,10387034
24-May-16,32.98,33.22,32.94,33.12,18077765
23-May-16,32.71,32.93,32.68,32.73,16078532
20-May-16,32.73,32.92,32.70,32.80,20352869
19-May-16,32.47,32.54,32.25,32.44,14302464
18-May-16,32.92,33.28,32.65,32.84,20859563
17-May-16,33.22,33.31,32.98,33.10,11681995
16-May-16,33.15,33.37,33.14,33.24,11871311
13-May-16,33.24,33.34,32.77,32.86,32199734
12-May-16,33.72,33.77,33.32,33.46,13447855
11-May-16,33.60,33.75,33.45,33.52,7523162
10-May-16,33.29,33.62,33.25,33.62,15832985
9-May-16,33.36,33.36,32.86,32.96,13902846
6-May-16,33.24,33.57,33.24,33.47,17872606
5-May-16,33.68,33.76,33.30,33.39,10408311
4-May-16,33.74,33.75,33.35,33.39,18128414
3-May-16,34.23,34.30,33.85,33.87,15472624
2-May-16,34.92,34.92,34.66,34.84,14558493
29-Apr-16,35.00,35.10,34.65,34.93,15633109
28-Apr-16,35.05,35.34,34.96,35.00,12803239
27-Apr-16,35.05,35.45,34.93,35.36,17914209
26-Apr-16,35.03,35.15,34.91,35.15,8723460
25-Apr-16,34.93,34.97,34.70,34.74,14106294
22-Apr-16,35.11,35.31,34.95,35.02,13128275
21-Apr-16,35.45,35.45,35.07,35.15,14503480
20-Apr-16,35.43,35.74,35.30,35.54,11243648
19-Apr-16,35.52,35.83,35.49,35.77,14039487
18-Apr-16,34.95,35.43,34.89,35.23,14328235
15-Apr-16,35.22,35.31,35.08,35.11,14448473
14-Apr-16,35.42,35.43,35.26,35.32,12682352
13-Apr-16,35.37,35.51,35.28,35.50,20158612
12-Apr-16,34.49,34.98,34.31,34.85,15883573
11-Apr-16,34.37,34.59,34.30,34.32,14099254
8-Apr-16,33.97,34.07,33.78,33.87,14067081
7-Apr-16,33.54,33.59,33.20,33.29,11248445
6-Apr-16,33.53,34.00,33.39,34.00,11604688
5-Apr-16,33.82,33.87,33.53,33.57,16526374
4-Apr-16,34.68,34.68,34.20,34.21,8805351
1-Apr-16,34.01,34.71,33.88,34.68,19357842
31-Mar-16,34.80,34.90,34.55,34.58,15572935
30-Mar-16,34.75,34.93,34.62,34.62,12617715
29-Mar-16,33.68,34.28,33.55,34.23,16645772
28-Mar-16,33.86,33.92,33.74,33.90,11695417
24-Mar-16,33.49,33.81,33.38,33.81,16494677
23-Mar-16,34.17,34.17,33.80,33.86,11668000
22-Mar-16,34.25,34.58,34.20,34.39,16639749
21-Mar-16,34.44,34.62,34.38,34.54,10944407
18-Mar-16,34.43,34.57,34.36,34.40,16644208
17-Mar-16,33.91,34.28,33.74,34.17,15863200
16-Mar-16,32.57,33.58,32.54,33.49,13208168
15-Mar-16,32.83,32.84,32.65,32.80,11979468
14-Mar-16,33.50,33.63,33.30,33.42,11352639
11-Mar-16,33.37,33.66,33.36,33.61,13728258
10-Mar-16,33.10,33.14,32.44,32.89,18410447
9-Mar-16,32.97,33.20,32.90,32.97,22002781
8-Mar-16,33.01,33.02,32.67,32.76,14888767
7-Mar-16,33.15,33.52,33.03,33.34,20467466
4-Mar-16,33.05,33.57,32.97,33.41,27829287
3-Mar-16,32.36,32.74,32.30,32.69,21570653
2-Mar-16,31.93,32.37,31.88,32.34,20574927
1-Mar-16,31.36,31.90,31.33,31.85,18666408
29-Feb-16,30.77,31.05,30.71,30.73,15012509
26-Feb-16,31.00,31.03,30.48,30.54,23966332
25-Feb-16,30.62,30.86,30.46,30.81,13854684
24-Feb-16,30.30,30.85,30.12,30.76,26766446
